Jogador,Equipe,JO,Min,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN,AS,ER,IA%,BR,B/E,Pts,3P,2P,LL,EF,RT,TO,DD,TD,ET,VI,RO,RD,FC,T/FC,Posicao,camisa
Lucas Dias,Sesi Franca,32,33.78,22.75,1.81,4.94,36.71,5.72,10.72,53.35,5.88,7.16,82.1,0.31,2.5,1.91,1.31,1.13,0.59,22.75,5.44,11.44,5.88,20.53,4.81,0.66,0.06,0.0,1.91,0.16,1.66,3.16,2.25,0.29,Ala/Pivô,#9
Holloway,Fortaleza B. C.,24,33.49,20.25,1.46,4.5,32.41,5.38,10.17,52.87,5.13,6.83,75.0,0.08,2.75,2.83,0.97,1.67,0.59,20.25,4.38,10.75,5.13,18.71,6.13,0.29,0.13,0.0,2.83,0.42,1.83,4.29,2.75,0.11,Ala,#1
Lucas Mariano,São Paulo,30,29.09,19.63,1.9,5.6,33.93,5.77,9.33,61.79,2.4,3.07,78.26,1.17,0.97,1.7,0.57,0.83,0.49,19.63,5.7,11.53,2.4,19.57,6.8,0.97,0.27,0.0,1.7,0.27,2.33,4.47,2.13,0.45,Pivô,#28
Fuller,Corinthians,31,32.99,19.1,2.77,7.13,38.91,3.19,7.03,45.41,4.39,5.13,85.53,0.0,2.55,1.9,1.34,0.81,0.42,19.1,8.32,6.39,4.39,14.26,2.65,0.0,0.0,0.0,1.9,0.16,0.45,2.19,1.94,0.0,Ala/Armador,#2
Yeager,BRB/Brasília,16,31.82,18.94,2.0,5.25,38.1,4.75,8.75,54.29,3.44,4.38,78.57,0.06,3.56,2.25,1.58,1.31,0.58,18.94,6.0,9.5,3.44,18.75,5.06,0.31,0.13,0.0,2.25,0.13,1.25,3.81,2.06,0.15,Ala,#3
Cook,VipTech CMB,23,30.72,18.7,3.09,7.35,42.01,2.83,6.48,43.62,3.78,4.74,79.82,0.04,2.17,2.48,0.88,0.83,0.33,18.7,9.26,5.65,3.78,13.26,2.78,0.13,0.0,0.0,2.48,0.35,0.39,2.39,2.61,0.05,Ala/Armador,#55
I. Thornton,Pato Basquete,28,31.7,15.82,2.0,5.93,33.73,3.46,8.54,40.59,2.89,4.18,69.23,0.0,2.21,1.18,1.88,0.86,0.73,15.82,6.0,6.93,2.89,11.04,3.57,0.04,0.0,0.0,1.18,0.04,1.39,2.18,1.43,0.03,Ala/Armador,#0
Georginho,São Paulo,30,32.77,15.77,1.63,4.03,40.5,3.4,5.97,56.98,4.07,4.77,85.31,0.53,6.23,2.4,2.6,1.83,0.76,15.77,4.9,6.8,4.07,24.73,8.13,0.83,0.5,0.17,2.4,0.2,1.03,7.1,2.07,0.4,Armador,#14
Wesley,Mogi,35,29.02,15.34,1.43,4.2,34.01,4.49,6.94,64.61,2.09,2.94,70.87,0.46,1.89,1.83,1.03,0.91,0.5,15.34,4.29,8.97,2.09,17.29,6.31,0.74,0.17,0.0,1.83,0.17,1.97,4.34,2.97,0.25,Pivô,#21
Fuller,Cerrado Basquete,13,31.74,15.23,1.08,4.23,25.45,3.77,8.54,44.14,4.46,5.23,85.29,0.23,3.23,2.15,1.5,0.62,0.29,15.23,3.23,7.54,4.46,12.54,4.15,0.15,0.0,0.0,2.15,0.15,1.0,3.15,1.31,0.12,Ala/Armador,#14
Shamell,São Paulo,29,29.79,15.14,2.55,5.83,43.79,2.52,4.62,54.48,2.45,2.79,87.65,0.0,3.03,2.0,1.52,0.93,0.47,15.14,7.66,5.03,2.45,14.76,3.31,0.07,0.0,0.0,2.0,0.17,0.66,2.66,1.52,0.05,Ala,#8
Alex Garcia,Bauru,34,31.36,14.85,1.71,5.0,34.12,3.41,5.71,59.79,2.91,4.0,72.79,0.06,3.79,2.29,1.65,1.29,0.56,14.85,5.12,6.82,2.91,15.38,4.29,0.12,0.0,0.0,2.29,0.18,0.59,3.71,2.94,0.04,Ala,#10
Brite,Fortaleza B. C.,26,29.39,14.54,1.62,4.5,35.9,3.88,7.12,54.59,1.92,2.38,80.65,0.04,3.38,2.0,1.69,2.23,1.12,14.54,4.85,7.77,1.92,14.0,2.31,0.12,0.0,0.0,2.0,0.35,0.42,1.88,2.58,0.04,Armador,#3
Coleman,Mogi,28,29.37,14.0,2.75,7.57,36.32,2.04,4.43,45.97,1.68,2.0,83.93,0.18,1.18,1.79,0.66,0.75,0.42,14.0,8.25,4.07,1.68,9.79,3.07,0.11,0.0,0.0,1.79,0.25,0.46,2.61,2.71,0.04,Ala,#9
Gui Deodato,Bauru,34,32.68,13.97,1.97,6.03,32.68,3.03,5.68,53.37,2.0,2.5,80.0,0.38,2.38,1.32,1.8,1.56,1.18,13.97,5.91,6.06,2.0,15.0,5.29,0.32,0.03,0.0,1.32,0.24,1.12,4.18,2.24,0.14,Ala,#1
Pierotti,VipTech CMB,20,31.97,13.95,2.05,7.0,29.29,2.6,6.1,42.62,2.6,3.5,74.29,0.0,4.9,2.25,2.18,0.8,0.36,13.95,6.15,5.2,2.6,12.15,4.05,0.05,0.0,0.0,2.25,0.25,0.75,3.3,1.8,0.03,Armador,#4
David Jackson,Minas,27,28.77,13.89,1.81,3.89,46.67,2.74,5.04,54.41,2.96,3.26,90.91,0.0,3.33,0.81,4.09,0.89,1.09,13.89,5.44,5.48,2.96,16.15,3.41,0.11,0.0,0.0,0.81,0.04,0.59,2.81,1.3,0.09,Ala,#32
Wiggins,Cerrado Basquete,15,24.6,13.67,0.87,3.8,22.81,3.47,8.13,42.62,4.13,5.0,82.67,0.33,0.73,1.8,0.41,0.6,0.33,13.67,2.6,6.93,4.13,7.87,2.87,0.27,0.0,0.0,1.8,0.27,0.53,2.33,1.07,0.25,Ala,#15
Marquinhos,Flamengo,26,24.13,13.38,1.81,5.27,34.31,2.58,4.81,53.6,2.81,3.65,76.84,0.12,2.35,1.54,1.53,0.62,0.4,13.38,5.42,5.15,2.81,13.12,4.73,0.12,0.0,0.0,1.54,0.12,0.85,3.88,1.19,0.1,Ala,#11
Johnson Sr,Minas,30,26.5,13.37,1.63,4.37,37.4,2.8,4.73,59.15,2.87,3.83,74.78,0.1,3.33,1.4,2.38,0.8,0.57,13.37,4.9,5.6,2.87,14.33,3.6,0.27,0.03,0.0,1.4,0.27,0.57,3.03,2.47,0.11,Ala,#22
Antonio,KTO/Caxias do Sul,32,30.81,13.25,1.34,3.63,37.07,3.28,5.72,57.38,2.66,3.38,78.7,0.13,1.88,1.16,1.62,0.97,0.84,13.25,4.03,6.56,2.66,14.75,5.0,0.25,0.03,0.0,1.16,0.13,1.5,3.5,2.78,0.09,Ala/Pivô,#11
Thomas,Paulistano,18,25.2,13.22,1.0,3.11,32.14,4.22,8.11,52.05,1.78,2.5,71.11,0.39,3.0,1.67,1.8,1.5,0.9,13.22,3.0,8.44,1.78,15.44,5.94,0.17,0.11,0.0,1.67,0.17,1.56,4.39,1.67,0.1,Ala/Pivô,#24
Hettsheimeir,Flamengo,32,21.14,13.06,1.88,4.56,41.1,2.44,4.34,56.12,2.56,3.09,82.83,0.16,1.22,1.84,0.66,0.5,0.27,13.06,5.63,4.88,2.56,13.5,5.41,0.28,0.03,0.0,1.84,0.41,1.59,3.81,1.84,0.15,Pivô,#30
Betinho,UNIFACISA,33,26.08,13.0,1.61,4.55,35.33,2.73,5.82,46.88,2.73,3.42,79.65,0.06,3.36,1.88,1.79,1.42,0.76,13.0,4.82,5.45,2.73,12.09,2.76,0.15,0.0,0.0,1.88,0.15,0.3,2.45,2.36,0.06,Ala,#26
Eddy,KTO/Caxias do Sul,31,33.75,12.97,2.61,7.84,33.33,1.94,3.48,55.56,1.26,1.77,70.91,0.19,2.52,1.45,1.73,1.0,0.69,12.97,7.84,3.87,1.26,12.84,4.9,0.19,0.13,0.0,1.45,0.23,1.16,3.74,2.35,0.08,Ala,#33
Alexey Borges,Bauru,29,32.85,12.97,1.9,4.24,44.72,2.72,4.83,56.43,1.83,2.38,76.81,0.0,5.93,1.9,3.13,1.59,0.84,12.97,5.69,5.45,1.83,17.52,3.86,0.07,0.1,0.0,1.9,0.17,0.79,3.07,2.41,0.03,Armador,#8
Cauê,Paulistano,19,27.07,12.89,1.37,4.37,31.33,3.0,5.79,51.82,2.79,3.11,89.83,0.11,3.89,2.84,1.37,1.58,0.56,12.89,4.11,6.0,2.79,12.42,2.68,0.32,0.0,0.0,2.84,0.26,0.53,2.16,1.53,0.21,Ala/Armador,#8
Tyrone Curnell,Bauru,35,28.26,12.86,1.43,4.69,30.49,3.17,5.51,57.51,2.23,2.86,78.0,0.14,1.69,1.8,0.94,0.97,0.54,12.86,4.29,6.34,2.23,13.4,5.51,0.4,0.06,0.0,1.8,0.2,1.43,4.09,3.14,0.13,Pivô,#0
Coelho,Cerrado Basquete,15,26.07,12.47,1.2,3.2,37.5,3.2,5.33,60.0,2.47,4.27,57.81,0.07,4.6,2.53,1.82,1.33,0.53,12.47,3.6,6.4,2.47,12.73,2.73,0.07,0.07,0.0,2.53,0.13,0.6,2.13,2.33,0.03,Armador,#10
Fúlvio,Mogi,32,30.11,12.44,1.84,4.88,37.82,1.56,3.38,46.3,3.78,4.06,93.08,0.0,8.91,3.84,2.32,1.25,0.33,12.44,5.53,3.13,3.78,18.03,4.34,0.06,0.34,0.0,3.84,0.22,0.69,3.66,1.81,0.03,Armador,#2
Green,Sesi Franca,17,24.85,12.41,0.53,1.53,34.62,4.47,7.12,62.81,1.88,2.29,82.05,0.18,2.0,1.35,1.48,0.76,0.57,12.41,1.59,8.94,1.88,12.65,2.82,0.06,0.0,0.0,1.35,0.18,0.35,2.47,2.06,0.03,Ala,#44
Olivinha,Flamengo,26,21.39,12.38,1.42,3.12,45.68,3.0,5.35,56.12,2.12,2.85,74.32,0.04,1.65,1.04,1.59,0.73,0.7,12.38,4.27,6.0,2.12,16.5,7.23,0.31,0.15,0.0,1.04,0.12,2.38,4.85,1.31,0.24,Ala/Pivô,#16
Chuzito,Flamengo,27,24.32,12.3,2.22,5.85,37.97,1.63,3.37,48.35,2.37,2.52,94.12,0.04,2.0,1.44,1.38,0.93,0.64,12.3,6.67,3.26,2.37,10.59,2.3,0.04,0.0,0.0,1.44,0.11,0.56,1.74,1.59,0.02,Ala/Armador,#8
Batista,Minas,32,22.65,12.09,0.19,0.47,40.0,4.81,8.5,56.62,1.91,2.41,79.22,0.0,1.69,2.03,0.83,0.28,0.14,12.09,0.56,9.63,1.91,13.97,5.94,0.47,0.09,0.0,2.03,0.25,1.97,3.97,1.81,0.26,Pivô,#13
André Goes,Sesi Franca,33,30.67,12.06,1.67,5.09,32.74,2.36,4.55,52.0,2.33,2.64,88.51,0.0,4.15,1.55,2.69,1.36,0.88,12.06,5.0,4.73,2.33,15.21,4.94,0.15,0.0,0.0,1.55,0.06,0.61,4.33,2.76,0.05,Ala,#40
Da Silva,KTO/Caxias do Sul,29,23.63,12.03,0.62,2.21,28.13,3.66,6.55,55.79,2.86,3.86,74.11,0.9,0.86,2.07,0.42,0.93,0.45,12.03,1.86,7.31,2.86,11.86,5.38,0.21,0.03,0.0,2.07,0.14,1.62,3.76,1.72,0.12,Ala/Pivô,#7
Fischer,Corinthians,31,25.52,12.0,1.9,4.13,46.09,2.03,4.06,50.0,2.23,2.48,89.61,0.0,4.84,2.23,2.17,1.03,0.46,12.0,5.71,4.06,2.23,14.0,2.87,0.0,0.03,0.0,2.23,0.16,0.42,2.45,2.61,0.0,Armador,#1
Nehemias,UNIFACISA,33,22.65,12.0,1.61,4.27,37.59,2.67,5.48,48.62,1.85,2.42,76.25,0.03,2.36,2.03,1.16,0.91,0.45,12.0,4.82,5.33,1.85,10.82,3.52,0.12,0.0,0.0,2.03,0.36,0.45,3.06,1.76,0.07,Ala,#7
Miller,Corinthians,32,27.28,11.97,1.84,4.19,44.03,2.63,4.16,63.16,1.19,1.41,84.44,0.22,1.84,1.78,1.04,1.06,0.6,11.97,5.53,5.25,1.19,13.97,4.38,0.59,0.03,0.0,1.78,0.22,0.59,3.78,2.28,0.26,Ala,#33
Matheusinho,Pato Basquete,30,25.22,11.83,0.87,3.1,27.96,3.17,6.43,49.22,2.9,4.23,68.5,0.0,4.4,2.57,1.71,1.67,0.65,11.83,2.6,6.33,2.9,12.07,3.47,0.1,0.03,0.0,2.57,0.4,0.67,2.8,2.03,0.05,Armador,#9
Ruivo,Paulistano,33,28.75,11.82,2.42,5.42,44.69,1.48,2.85,52.13,1.58,2.18,72.22,0.0,3.82,1.45,2.63,1.06,0.73,11.82,7.27,2.97,1.58,13.03,2.76,0.0,0.0,0.0,1.45,0.12,0.27,2.48,1.27,0.0,Armador,#4
Gabriel,Pinheiros,30,25.15,11.8,2.23,6.53,34.18,1.53,3.2,47.92,2.03,2.77,73.49,0.03,3.83,2.9,1.32,1.03,0.36,11.8,6.7,3.07,2.03,9.93,2.77,0.1,0.03,0.0,2.9,0.23,0.5,2.27,1.57,0.06,Armador,#2
Paulo,Cerrado Basquete,27,26.87,11.78,1.33,3.44,38.71,3.04,6.7,45.3,1.7,2.19,77.97,0.3,1.19,1.37,0.86,1.3,0.95,11.78,4.0,6.07,1.7,11.56,4.74,0.19,0.11,0.0,1.37,0.11,1.63,3.11,1.93,0.1,Ala/Armador,#7
Laster,BRB/Brasília,28,28.02,11.71,2.14,6.04,35.5,1.86,4.25,43.7,1.57,2.07,75.86,0.25,0.96,1.07,0.9,0.68,0.63,11.71,6.43,3.71,1.57,10.14,4.5,0.14,0.0,0.0,1.07,0.14,1.46,3.04,2.04,0.07,Ala,#14
Felipe,Fortaleza B. C.,20,27.35,11.6,1.6,5.15,31.07,2.3,4.85,47.42,2.2,3.0,73.33,0.1,1.1,0.9,1.22,1.1,1.22,11.6,4.8,4.6,2.2,11.55,5.35,0.2,0.1,0.0,0.9,0.1,1.4,3.95,2.6,0.08,Ala/Pivô,#33
Siewert,Corinthians,26,25.61,11.5,1.77,5.0,35.38,2.54,5.19,48.89,1.12,1.31,85.29,0.0,0.92,0.92,1.0,0.54,0.58,11.5,5.31,5.08,1.12,12.0,5.5,0.54,0.08,0.0,0.92,0.12,1.88,3.62,2.15,0.25,Ala/Pivô,#25
Pedro Teruel,KTO/Caxias do Sul,32,28.09,11.47,1.13,3.69,30.51,3.0,6.69,44.86,2.09,3.0,69.79,0.0,3.13,1.84,1.69,0.59,0.32,11.47,3.38,6.0,2.09,8.88,2.63,0.06,0.0,0.0,1.84,0.31,0.5,2.13,2.81,0.02,Ala,#12
Zach Graham,Bauru,20,27.9,11.1,1.55,4.45,34.83,2.5,5.15,48.54,1.45,1.85,78.38,0.0,1.1,1.2,0.92,0.6,0.5,11.1,4.65,5.0,1.45,8.85,2.95,0.25,0.0,0.0,1.2,0.4,0.35,2.6,1.8,0.14,Ala,#32
Du Sommer,Paulistano,13,24.7,11.08,0.77,3.23,23.81,3.38,6.0,56.41,2.0,3.38,59.09,0.23,1.15,0.92,1.25,0.92,1.0,11.08,2.31,6.77,2.0,10.54,4.46,0.31,0.0,0.0,0.92,0.15,1.38,3.08,3.0,0.1,Pivô,#17
Nico,KTO/Caxias do Sul,25,31.02,11.04,1.48,3.32,44.58,2.4,5.12,46.88,1.8,2.08,86.54,0.0,3.72,1.48,2.51,0.48,0.32,11.04,4.44,4.8,1.8,11.36,2.36,0.08,0.0,0.0,1.48,0.12,0.32,2.04,2.2,0.04,Armador,#22
Parodi,Minas,22,21.94,10.91,1.55,4.14,37.36,2.36,5.14,46.02,1.55,2.0,77.27,0.0,4.59,2.23,2.06,1.41,0.63,10.91,4.64,4.73,1.55,11.86,2.95,0.05,0.0,0.0,2.23,0.18,0.73,2.23,1.82,0.03,Armador,#21
