Pos.,Jogador,Equipe,JO,Min,BR,ER,B/E
1,Brite #3,Fortaleza B. C.,26,29.39,2.23,2.0,1.12
2,Teichmann #11,Pinheiros,27,27.05,1.85,2.15,0.86
3,Georginho #14,São Paulo,30,32.77,1.83,2.4,0.76
4,Holloway #1,Fortaleza B. C.,24,33.49,1.67,2.83,0.59
5,Matheusinho #9,Pato Basquete,30,25.22,1.67,2.57,0.65
6,Alexey Borges #8,Bauru,29,32.85,1.59,1.9,0.84
7,Cauê #8,Paulistano,19,27.07,1.58,2.84,0.56
8,Gui Deodato #1,Bauru,34,32.68,1.56,1.32,1.18
9,Thomas #24,Paulistano,18,25.2,1.5,1.67,0.9
10,Betinho #26,UNIFACISA,33,26.08,1.42,1.88,0.76
11,Parodi #21,Minas,22,21.94,1.41,2.23,0.63
12,André Goes #40,Sesi Franca,33,30.67,1.36,1.55,0.88
13,Coelho #10,Cerrado Basquete,15,26.07,1.33,2.53,0.53
14,Yeager #3,BRB/Brasília,16,31.82,1.31,2.25,0.58
15,Paulo #7,Cerrado Basquete,27,26.87,1.3,1.37,0.95
16,Alex Garcia #10,Bauru,34,31.36,1.29,2.29,0.56
17,Bennett #3,São Paulo,31,30.64,1.29,1.29,1.0
18,Gegê #19,Corinthians,26,20.2,1.27,1.23,1.03
19,Lessa #32,Mogi,35,22.86,1.26,1.63,0.77
20,Fúlvio #2,Mogi,32,30.11,1.25,3.84,0.33
21,Martinez #25,Flamengo,17,19.08,1.24,0.71,1.75
22,Nezinho #23,BRB/Brasília,25,26.26,1.16,3.76,0.31
23,Lucas Dias #9,Sesi Franca,32,33.78,1.13,1.91,0.59
24,Felipe #33,Fortaleza B. C.,20,27.35,1.1,0.9,1.22
25,Crescenzi #8,Cerrado Basquete,30,20.33,1.1,1.0,1.1
26,Augusto #55,Pato Basquete,25,21.44,1.08,1.24,0.87
27,Balbi #6,Flamengo,25,23.45,1.08,1.88,0.57
28,Lucas Lima #4,Cerrado Basquete,30,20.99,1.07,1.03,1.03
29,Elinho #5,Sesi Franca,31,31.48,1.06,3.23,0.33
30,Miller #33,Corinthians,32,27.28,1.06,1.78,0.6
31,Ruivo #4,Paulistano,33,28.75,1.06,1.45,0.73
32,Deryk #9,Paulistano,33,25.92,1.06,2.21,0.48
33,Fuzaro #6,Sesi Franca,34,27.15,1.06,1.82,0.58
34,Humberto #19,Pinheiros,26,31.63,1.04,2.92,0.36
35,Gabriel #2,Pinheiros,30,25.15,1.03,2.9,0.36
36,Fischer #1,Corinthians,31,25.52,1.03,2.23,0.46
37,Figueroa #33,VipTech CMB,23,25.9,1.0,1.83,0.55
38,G. Basílio #10,Pinheiros,27,23.0,1.0,1.19,0.84
39,Eddy #33,KTO/Caxias do Sul,31,33.75,1.0,1.45,0.69
40,Tyrone Curnell #0,Bauru,35,28.26,0.97,1.8,0.54
41,Antonio #11,KTO/Caxias do Sul,32,30.81,0.97,1.16,0.84
42,Yago #2,Flamengo,31,24.82,0.94,1.48,0.63
43,Sahdi #32,UNIFACISA,15,19.11,0.93,2.2,0.42
44,Shamell #8,São Paulo,29,29.79,0.93,2.0,0.47
45,Da Silva #7,KTO/Caxias do Sul,29,23.63,0.93,2.07,0.45
46,Chuzito #8,Flamengo,27,24.32,0.93,1.44,0.64
47,Du Sommer #17,Paulistano,13,24.7,0.92,0.92,1.0
48,Wesley #21,Mogi,35,29.02,0.91,1.83,0.5
49,Nehemias #7,UNIFACISA,33,22.65,0.91,2.03,0.45
50,Dawkins #10,São Paulo,30,17.7,0.9,0.87,1.04
51,Sualisson #14,Fortaleza B. C.,29,24.97,0.9,1.62,0.55
52,Arthur #36,Corinthians,28,22.72,0.89,1.25,0.71
53,David Jackson #32,Minas,27,28.77,0.89,0.81,1.09
54,Cauê #8,Fortaleza B. C.,26,24.07,0.88,1.08,0.82
55,Gui Abreu #33,Sesi Franca,30,18.88,0.87,0.37,2.36
56,Nesbitt #25,Minas,29,25.94,0.86,1.21,0.71
