Pos.,Jogador,Equipe,JO,Min,EF,PTS,RT,AS,BR,TO,ER
1,Georginho #14,São Paulo,30,32.77,24.73,15.77,8.13,6.23,1.83,0.83,2.4
2,Lucas Dias #9,Sesi Franca,32,33.78,20.53,22.75,4.81,2.5,1.13,0.66,1.91
3,Lucas Mariano #28,São Paulo,30,29.09,19.57,19.63,6.8,0.97,0.83,0.97,1.7
4,Yeager #3,BRB/Brasília,16,31.82,18.75,18.94,5.06,3.56,1.31,0.31,2.25
5,Holloway #1,Fortaleza B. C.,24,33.49,18.71,20.25,6.13,2.75,1.67,0.29,2.83
6,Fúlvio #2,Mogi,32,30.11,18.03,12.44,4.34,8.91,1.25,0.06,3.84
7,Alexey Borges #8,Bauru,29,32.85,17.52,12.97,3.86,5.93,1.59,0.07,1.9
8,Wesley #21,Mogi,35,29.02,17.29,15.34,6.31,1.89,0.91,0.74,1.83
9,Olivinha #16,Flamengo,26,21.39,16.5,12.38,7.23,1.65,0.73,0.31,1.04
10,Teichmann #11,Pinheiros,27,27.05,16.37,6.52,8.81,3.63,1.85,0.89,2.15
11,David Jackson #32,Minas,27,28.77,16.15,13.89,3.41,3.33,0.89,0.11,0.81
12,Mathias #12,Fortaleza B. C.,30,25.63,15.77,9.07,9.7,1.0,0.63,0.97,2.07
13,Thomas #24,Paulistano,18,25.2,15.44,13.22,5.94,3.0,1.5,0.17,1.67
14,Alex Garcia #10,Bauru,34,31.36,15.38,14.85,4.29,3.79,1.29,0.12,2.29
15,André Goes #40,Sesi Franca,33,30.67,15.21,12.06,4.94,4.15,1.36,0.15,1.55
16,Gui Deodato #1,Bauru,34,32.68,15.0,13.97,5.29,2.38,1.56,0.32,1.32
17,Elinho #5,Sesi Franca,31,31.48,14.97,9.74,4.23,7.03,1.06,0.1,3.23
18,Shamell #8,São Paulo,29,29.79,14.76,15.14,3.31,3.03,0.93,0.07,2.0
19,Antonio #11,KTO/Caxias do Sul,32,30.81,14.75,13.25,5.0,1.88,0.97,0.25,1.16
20,Johnson Sr #22,Minas,30,26.5,14.33,13.37,3.6,3.33,0.8,0.27,1.4
21,Fuller #2,Corinthians,31,32.99,14.26,19.1,2.65,2.55,0.81,0.0,1.9
22,Yago #2,Flamengo,31,24.82,14.16,10.77,3.0,5.68,0.94,0.03,1.48
23,Brite #3,Fortaleza B. C.,26,29.39,14.0,14.54,2.31,3.38,2.23,0.12,2.0
24,Fischer #1,Corinthians,31,25.52,14.0,12.0,2.87,4.84,1.03,0.0,2.23
