Jogador,Posicao,Equipe
Lucas Dias #9,Ala/Pivô,Sesi Franca
Holloway #1,Ala,Fortaleza B. C.
Lucas Mariano #28,Pivô,São Paulo
Fuller #2,Ala/Armador,Corinthians
Yeager #3,Ala,BRB/Brasília
Cook #55,Ala/Armador,VipTech CMB
I. Thornton #0,Ala/Armador,Pato Basquete
Georginho #14,Armador,São Paulo
Wesley #21,Pivô,Mogi
Fuller #14,Ala/Armador,Cerrado Basquete
Shamell #8,Ala,São Paulo
Alex Garcia #10,Ala,Bauru
Brite #3,Armador,Fortaleza B. C.
Coleman #9,Ala,Mogi
Gui Deodato #1,Ala,Bauru
Pierotti #4,Armador,VipTech CMB
David Jackson #32,Ala,Minas
Wiggins #15,Ala,Cerrado Basquete
Marquinhos #11,Ala,Flamengo
Johnson Sr #22,Ala,Minas
Antonio #11,Ala/Pivô,KTO/Caxias do Sul
Thomas #24,Ala/Pivô,Paulistano
Hettsheimeir #30,Pivô,Flamengo
Betinho #26,Ala,UNIFACISA
Eddy #33,Ala,KTO/Caxias do Sul
Alexey Borges #8,Armador,Bauru
Cauê #8,Ala/Armador,Paulistano
Tyrone Curnell #0,Pivô,Bauru
Coelho #10,Armador,Cerrado Basquete
Fúlvio #2,Armador,Mogi
Green #44,Ala,Sesi Franca
Olivinha #16,Ala/Pivô,Flamengo
Chuzito #8,Ala/Armador,Flamengo
Batista #13,Pivô,Minas
André Goes #40,Ala,Sesi Franca
Da Silva #7,Ala/Pivô,KTO/Caxias do Sul
Fischer #1,Armador,Corinthians
Nehemias #7,Ala,UNIFACISA
Miller #33,Ala,Corinthians
Matheusinho #9,Armador,Pato Basquete
Ruivo #4,Armador,Paulistano
Gabriel #2,Armador,Pinheiros
Paulo #7,Ala/Armador,Cerrado Basquete
Laster #14,Ala,BRB/Brasília
Felipe #33,Ala/Pivô,Fortaleza B. C.
Siewert #25,Ala/Pivô,Corinthians
Pedro Teruel #12,Ala,KTO/Caxias do Sul
Zach Graham #32,Ala,Bauru
Du Sommer #17,Pivô,Paulistano
Nico #22,Armador,KTO/Caxias do Sul
Parodi #21,Armador,Minas
Bennett #3,Ala,São Paulo
Yago #2,Armador,Flamengo
Barnes #34,Armador,UNIFACISA
Fuzaro #6,Ala,Sesi Franca
Nesbitt #25,Ala/Pivô,Minas
Humberto #19,Ala/Armador,Pinheiros
Nezinho #23,Armador,BRB/Brasília
Gruber #20,Pivô,Mogi
Elinho #5,Armador,Sesi Franca
Gemerson #6,Ala/Pivô,BRB/Brasília
D. Nunes #24,Ala/Pivô,Cerrado Basquete
Rashaun #17,Ala,Fortaleza B. C.
Martinez #25,Ala,Flamengo
Renan #44,Ala/Pivô,São Paulo
Maique #35,Pivô,Paulistano
Smith #10,Ala/Armador,Sesi Franca
Paranhos #24,Pivô,UNIFACISA
Arthur #4,Ala,BRB/Brasília
Caio Torres #13,Pivô,BRB/Brasília
Buffat #9,Armador,Pinheiros
Crescenzi #8,Ala/Armador,Cerrado Basquete
Vitão #10,Ala/Pivô,Paulistano
Munford #14,Ala,Pinheiros
Mathias #12,Pivô,Fortaleza B. C.
Deryk #9,Ala/Armador,Paulistano
Fabricio #10,Ala/Pivô,Mogi
Scheuer #14,Ala/Pivô,Pato Basquete
Lucão #31,Pivô,VipTech CMB
Arthur #36,Ala/Pivô,Corinthians
Mineiro #12,Ala/Pivô,Flamengo
G. Basílio #10,Ala,Pinheiros
Shilton #66,Pivô,KTO/Caxias do Sul
Jimmy #18,Ala,Paulistano
Demétrio #71,Ala/Pivô,Flamengo
Gabriel Jaú #25,Ala/Pivô,Bauru
Davi #5,Armador,Minas
Gui Santos #11,Ala,Minas
Pastor #9,Ala/Pivô,UNIFACISA
Lucas #10,Armador,Pato Basquete
Jefferson #11,Ala/Pivô,São Paulo
Balbi #6,Armador,Flamengo
Rafa #16,Ala/Pivô,UNIFACISA
Frierson #3,Armador,VipTech CMB
Douglas Santos #0,Ala/Pivô,Mogi
Vezaro #10,Ala,UNIFACISA
Márcio #3,Ala/Pivô,Sesi Franca
Larry Taylor #4,Armador,Bauru
Diego #15,Ala/Pivô,Bauru
Gui Abreu #33,Ala/Pivô,Sesi Franca
Augusto #55,Armador,Pato Basquete
Renato #15,Pivô,Corinthians
M. Pajé #25,Ala/Pivô,VipTech CMB
João Vitor #0,Pivô,UNIFACISA
Sena #7,Ala/Armador,Pinheiros
Sualisson #14,Ala/Pivô,Fortaleza B. C.
Dawkins #10,Armador,São Paulo
Leal #2,Pivô,Pato Basquete
P. Rava #7,Armador,BRB/Brasília
Servelin #3,Ala,Pato Basquete
Pedro #9,Ala,KTO/Caxias do Sul
Funches III #1,Ala/Pivô,Pato Basquete
Castellon #8,Ala,VipTech CMB
T. Faria #1,Armador,Pinheiros
Schneider #18,Ala,Fortaleza B. C.
Luizinho #11,Ala,VipTech CMB
Ronald #6,Pivô,Minas
Hubner #77,Pivô,Sesi Franca
Teichmann #11,Pivô,Pinheiros
Jefferson #0,Ala/Armador,BRB/Brasília
Isaac #7,Ala,São Paulo
Sahdi #32,Armador,UNIFACISA
Von Haydin #30,Ala/Armador,Cerrado Basquete
Queiros #3,Ala/Pivô,Minas
Lessa #32,Ala/Armador,Mogi
L. Cauê #23,Pivô,Corinthians
Mogi #19,Ala,Mogi
Lucas Lima #4,Armador,Cerrado Basquete
Cauê #8,Armador,Fortaleza B. C.
W. Sena #21,Pivô,Pinheiros
Figueroa #33,Armador,VipTech CMB
Pecos #23,Armador,UNIFACISA
B. Fiorotto #21,Pivô,Cerrado Basquete
Leonardo #21,Pivô,UNIFACISA
Rafa Moreira #9,Ala,Minas
Magna #19,Ala/Pivô,VipTech CMB
Marcelão #5,Pivô,BRB/Brasília
Alex #10,Ala/Pivô,Fortaleza B. C.
Gerson #1,Pivô,São Paulo
Barbosa #32,Ala,Paulistano
Dikembe #20,Pivô,Bauru
Pedro Nunes #24,Ala/Armador,Flamengo
Gegê #19,Armador,Corinthians
D. Souza #12,Pivô,Pinheiros
Jhonatan #7,Ala,Flamengo
Kurtz #34,Pivô,Mogi
Valter #28,Ala/Armador,Pinheiros
Alex #13,Ala/Pivô,Cerrado Basquete
Doria #7,Ala/Pivô,Paulistano
Gabriel #12,Ala,Pato Basquete
Pezão #21,Pivô,VipTech CMB
Sérgio #1,Pivô,Cerrado Basquete
Nogueira #92,Pivô,Fortaleza B. C.
Jamison #6,Ala,Pinheiros
Adyel #4,Armador,Sesi Franca
Rodrigues #16,Pivô,Pato Basquete
Tom #40,Pivô,VipTech CMB
Zubiaurre #31,Armador,Pinheiros
J. Socas #54,Armador,BRB/Brasília
Ambrosino #35,Ala/Pivô,Cerrado Basquete
Aquiles #20,Ala,Pato Basquete
Gabriel #8,Armador,BRB/Brasília
Eugeniusz #6,Armador,KTO/Caxias do Sul
Gemadinha #35,Ala,UNIFACISA
Cassiano #5,Armador,Mogi
Capela #5,Ala/Armador,Pinheiros
Jonatan #50,Ala/Armador,Paulistano
Camargo #13,Armador,Flamengo
R. Rachel #20,Ala/Pivô,Flamengo
Vezarinho #10,Ala/Armador,Corinthians
Danilo #17,Ala,BRB/Brasília
M. Douglas #13,Pivô,Pinheiros
Alexandrino #13,Pivô,UNIFACISA
Ruan #9,Ala/Pivô,Flamengo
Luis #9,Armador,Cerrado Basquete
Edu Marília #11,Ala/Pivô,Sesi Franca
Lobo #9,Armador,Fortaleza B. C.
Varejão #50,Pivô,VipTech CMB
Colina #8,Ala,Mogi
Lassance #24,Armador,Fortaleza B. C.
Nathan #43,Ala/Pivô,Sesi Franca
Djalo #35,Ala/Pivô,Corinthians
Alexei Patrício #3,Armador,Bauru
R. Stabile #17,Ala/Pivô,KTO/Caxias do Sul
