Pos.,Jogador,Equipe,JO,Min,PTS,3PC,3PT,3P%,2PC,2PT,2P%,LLC,LLT,LL%,EN
1,Lucas Dias #9,Sesi Franca,32,33.78,22.75,1.81,4.94,36.71,5.72,10.72,53.35,5.88,7.16,82.1,0.31
2,Holloway #1,Fortaleza B. C.,24,33.49,20.25,1.46,4.5,32.41,5.38,10.17,52.87,5.13,6.83,75.0,0.08
3,Lucas Mariano #28,São Paulo,30,29.09,19.63,1.9,5.6,33.93,5.77,9.33,61.79,2.4,3.07,78.26,1.17
4,Fuller #2,Corinthians,31,32.99,19.1,2.77,7.13,38.91,3.19,7.03,45.41,4.39,5.13,85.53,0.0
5,Yeager #3,BRB/Brasília,16,31.82,18.94,2.0,5.25,38.1,4.75,8.75,54.29,3.44,4.38,78.57,0.06
6,Cook #55,VipTech CMB,23,30.72,18.7,3.09,7.35,42.01,2.83,6.48,43.62,3.78,4.74,79.82,0.04
7,I. Thornton #0,Pato Basquete,28,31.7,15.82,2.0,5.93,33.73,3.46,8.54,40.59,2.89,4.18,69.23,0.0
8,Georginho #14,São Paulo,30,32.77,15.77,1.63,4.03,40.5,3.4,5.97,56.98,4.07,4.77,85.31,0.53
9,Wesley #21,Mogi,35,29.02,15.34,1.43,4.2,34.01,4.49,6.94,64.61,2.09,2.94,70.87,0.46
10,Fuller #14,Cerrado Basquete,13,31.74,15.23,1.08,4.23,25.45,3.77,8.54,44.14,4.46,5.23,85.29,0.23
11,Shamell #8,São Paulo,29,29.79,15.14,2.55,5.83,43.79,2.52,4.62,54.48,2.45,2.79,87.65,0.0
12,Alex Garcia #10,Bauru,34,31.36,14.85,1.71,5.0,34.12,3.41,5.71,59.79,2.91,4.0,72.79,0.06
13,Brite #3,Fortaleza B. C.,26,29.39,14.54,1.62,4.5,35.9,3.88,7.12,54.59,1.92,2.38,80.65,0.04
14,Coleman #9,Mogi,28,29.37,14.0,2.75,7.57,36.32,2.04,4.43,45.97,1.68,2.0,83.93,0.18
15,Gui Deodato #1,Bauru,34,32.68,13.97,1.97,6.03,32.68,3.03,5.68,53.37,2.0,2.5,80.0,0.38
16,Pierotti #4,VipTech CMB,20,31.97,13.95,2.05,7.0,29.29,2.6,6.1,42.62,2.6,3.5,74.29,0.0
17,David Jackson #32,Minas,27,28.77,13.89,1.81,3.89,46.67,2.74,5.04,54.41,2.96,3.26,90.91,0.0
18,Wiggins #15,Cerrado Basquete,15,24.6,13.67,0.87,3.8,22.81,3.47,8.13,42.62,4.13,5.0,82.67,0.33
19,Marquinhos #11,Flamengo,26,24.13,13.38,1.81,5.27,34.31,2.58,4.81,53.6,2.81,3.65,76.84,0.12
20,Johnson Sr #22,Minas,30,26.5,13.37,1.63,4.37,37.4,2.8,4.73,59.15,2.87,3.83,74.78,0.1
21,Antonio #11,KTO/Caxias do Sul,32,30.81,13.25,1.34,3.63,37.07,3.28,5.72,57.38,2.66,3.38,78.7,0.13
22,Thomas #24,Paulistano,18,25.2,13.22,1.0,3.11,32.14,4.22,8.11,52.05,1.78,2.5,71.11,0.39
23,Hettsheimeir #30,Flamengo,32,21.14,13.06,1.88,4.56,41.1,2.44,4.34,56.12,2.56,3.09,82.83,0.16
24,Betinho #26,UNIFACISA,33,26.08,13.0,1.61,4.55,35.33,2.73,5.82,46.88,2.73,3.42,79.65,0.06
25,Eddy #33,KTO/Caxias do Sul,31,33.75,12.97,2.61,7.84,33.33,1.94,3.48,55.56,1.26,1.77,70.91,0.19
26,Alexey Borges #8,Bauru,29,32.85,12.97,1.9,4.24,44.72,2.72,4.83,56.43,1.83,2.38,76.81,0.0
27,Cauê #8,Paulistano,19,27.07,12.89,1.37,4.37,31.33,3.0,5.79,51.82,2.79,3.11,89.83,0.11
28,Tyrone Curnell #0,Bauru,35,28.26,12.86,1.43,4.69,30.49,3.17,5.51,57.51,2.23,2.86,78.0,0.14
29,Coelho #10,Cerrado Basquete,15,26.07,12.47,1.2,3.2,37.5,3.2,5.33,60.0,2.47,4.27,57.81,0.07
30,Fúlvio #2,Mogi,32,30.11,12.44,1.84,4.88,37.82,1.56,3.38,46.3,3.78,4.06,93.08,0.0
31,Green #44,Sesi Franca,17,24.85,12.41,0.53,1.53,34.62,4.47,7.12,62.81,1.88,2.29,82.05,0.18
32,Olivinha #16,Flamengo,26,21.39,12.38,1.42,3.12,45.68,3.0,5.35,56.12,2.12,2.85,74.32,0.04
33,Chuzito #8,Flamengo,27,24.32,12.3,2.22,5.85,37.97,1.63,3.37,48.35,2.37,2.52,94.12,0.04
34,Batista #13,Minas,32,22.65,12.09,0.19,0.47,40.0,4.81,8.5,56.62,1.91,2.41,79.22,0.0
35,André Goes #40,Sesi Franca,33,30.67,12.06,1.67,5.09,32.74,2.36,4.55,52.0,2.33,2.64,88.51,0.0
36,Da Silva #7,KTO/Caxias do Sul,29,23.63,12.03,0.62,2.21,28.13,3.66,6.55,55.79,2.86,3.86,74.11,0.9
37,Fischer #1,Corinthians,31,25.52,12.0,1.9,4.13,46.09,2.03,4.06,50.0,2.23,2.48,89.61,0.0
38,Nehemias #7,UNIFACISA,33,22.65,12.0,1.61,4.27,37.59,2.67,5.48,48.62,1.85,2.42,76.25,0.03
39,Miller #33,Corinthians,32,27.28,11.97,1.84,4.19,44.03,2.63,4.16,63.16,1.19,1.41,84.44,0.22
40,Matheusinho #9,Pato Basquete,30,25.22,11.83,0.87,3.1,27.96,3.17,6.43,49.22,2.9,4.23,68.5,0.0
41,Ruivo #4,Paulistano,33,28.75,11.82,2.42,5.42,44.69,1.48,2.85,52.13,1.58,2.18,72.22,0.0
42,Gabriel #2,Pinheiros,30,25.15,11.8,2.23,6.53,34.18,1.53,3.2,47.92,2.03,2.77,73.49,0.03
43,Paulo #7,Cerrado Basquete,27,26.87,11.78,1.33,3.44,38.71,3.04,6.7,45.3,1.7,2.19,77.97,0.3
44,Laster #14,BRB/Brasília,28,28.02,11.71,2.14,6.04,35.5,1.86,4.25,43.7,1.57,2.07,75.86,0.25
45,Felipe #33,Fortaleza B. C.,20,27.35,11.6,1.6,5.15,31.07,2.3,4.85,47.42,2.2,3.0,73.33,0.1
46,Siewert #25,Corinthians,26,25.61,11.5,1.77,5.0,35.38,2.54,5.19,48.89,1.12,1.31,85.29,0.0
47,Pedro Teruel #12,KTO/Caxias do Sul,32,28.09,11.47,1.13,3.69,30.51,3.0,6.69,44.86,2.09,3.0,69.79,0.0
48,Zach Graham #32,Bauru,20,27.9,11.1,1.55,4.45,34.83,2.5,5.15,48.54,1.45,1.85,78.38,0.0
49,Du Sommer #17,Paulistano,13,24.7,11.08,0.77,3.23,23.81,3.38,6.0,56.41,2.0,3.38,59.09,0.23
50,Nico #22,KTO/Caxias do Sul,25,31.02,11.04,1.48,3.32,44.58,2.4,5.12,46.88,1.8,2.08,86.54,0.0
51,Parodi #21,Minas,22,21.94,10.91,1.55,4.14,37.36,2.36,5.14,46.02,1.55,2.0,77.27,0.0
52,Bennett #3,São Paulo,31,30.64,10.87,0.81,1.52,53.19,3.55,5.19,68.32,1.35,1.94,70.0,0.06
53,Yago #2,Flamengo,31,24.82,10.77,1.94,5.23,37.04,1.48,2.45,60.53,2.0,2.52,79.49,0.0
54,Barnes #34,UNIFACISA,31,21.51,10.74,1.55,4.48,34.53,2.61,4.61,56.64,0.87,1.1,79.41,0.0
55,Fuzaro #6,Sesi Franca,34,27.15,10.71,0.82,2.5,32.94,3.15,5.71,55.15,1.94,2.29,84.62,0.35
56,Nesbitt #25,Minas,29,25.94,10.69,1.66,3.59,46.15,1.86,3.76,49.54,2.0,2.52,79.45,0.48
57,Humberto #19,Pinheiros,26,31.63,10.58,1.62,5.19,31.11,1.85,5.0,36.92,2.04,3.23,63.1,0.08
