Pos.,Jogador,Equipe,JO,Min,AS,ER,IA%
1,Fúlvio #2,Mogi,13,31.17,9.23,3.54,2.61
2,Elinho #5,Sesi Franca,15,33.2,7.33,3.0,2.44
3,Alexey Borges #8,Bauru,10,34.72,6.8,1.9,3.58
4,Georginho #14,São Paulo,15,30.89,5.8,2.2,2.64
5,Parodi #21,Minas,12,23.45,5.42,2.08,2.6
6,Balbi #6,Flamengo,15,23.92,5.33,1.87,2.86
7,Yago #2,Flamengo,15,25.55,5.07,1.47,3.45
8,Pierotti #4,VipTech CMB,15,32.75,4.93,2.4,2.06
9,André Goes #40,Sesi Franca,15,31.84,4.73,1.47,3.23
10,Coelho #10,Cerrado Basquete,11,28.43,4.73,2.82,1.68
11,Figueroa #33,VipTech CMB,8,22.68,4.63,1.13,4.11
12,Nezinho #23,BRB/Brasília,10,26.94,4.6,4.5,1.02
13,Gegê #19,Corinthians,11,24.62,4.55,1.45,3.13
14,Yeager #3,BRB/Brasília,7,33.31,4.29,2.86,1.5
15,Alex Garcia #10,Bauru,14,32.32,4.29,2.29,1.88
16,Deryk #9,Paulistano,15,28.62,4.2,2.67,1.58
17,Ruivo #4,Paulistano,15,30.92,4.0,1.53,2.61
18,Betinho #26,UNIFACISA,15,28.58,4.0,2.4,1.67
19,Matheusinho #9,Pato Basquete,14,23.59,3.86,2.29,1.69
20,Nico #22,KTO/Caxias do Sul,15,31.08,3.73,1.8,2.07
21,Bennett #3,São Paulo,15,32.6,3.73,1.13,3.29
22,Johnson Sr #22,Minas,12,28.94,3.58,1.58,2.26
23,Cauê #8,Paulistano,11,29.03,3.55,3.18,1.11
24,Davi #5,Minas,14,24.74,3.5,2.0,1.75
25,Fischer #1,Corinthians,13,24.33,3.38,2.08,1.63
26,Teichmann #11,Pinheiros,15,26.72,3.33,2.33,1.43
27,Pecos #23,UNIFACISA,15,20.78,3.33,1.0,3.33
28,Fuller #14,Cerrado Basquete,13,31.74,3.23,2.15,1.5
29,Larry Taylor #4,Bauru,15,27.22,3.2,1.2,2.67
30,Shamell #8,São Paulo,15,29.28,3.2,2.07,1.55
31,Nehemias #7,UNIFACISA,15,26.91,3.07,2.53,1.21
32,Nogueira #92,Fortaleza B. C.,9,18.19,3.0,1.67,1.8
33,Gabriel #2,Pinheiros,15,20.27,3.0,2.53,1.18
34,Holloway #1,Fortaleza B. C.,12,34.34,2.83,2.83,1.0
35,Brite #3,Fortaleza B. C.,12,27.27,2.83,1.58,1.79
36,P. Rava #7,BRB/Brasília,9,24.11,2.78,1.0,2.78
37,Pedro Teruel #12,KTO/Caxias do Sul,15,25.44,2.73,1.87,1.46
38,Humberto #19,Pinheiros,15,32.49,2.73,3.33,0.82
39,Jefferson #0,BRB/Brasília,13,23.45,2.69,2.31,1.17
40,David Jackson #32,Minas,9,27.9,2.67,1.0,2.67
41,Marquinhos #11,Flamengo,9,23.39,2.67,1.78,1.5
42,Fuller #2,Corinthians,12,33.61,2.67,2.17,1.23
43,Cassiano #5,Mogi,12,14.5,2.58,1.33,1.94
44,Diego #15,BRB/Brasília,15,31.46,2.47,1.67,1.48
45,Cook #55,VipTech CMB,9,32.79,2.44,2.44,1.0
46,Lucas #10,Pato Basquete,10,20.98,2.4,1.7,1.41
47,Lucas Dias #9,Sesi Franca,15,34.14,2.4,2.4,1.0
48,Gui Deodato #1,Bauru,14,31.75,2.36,1.29,1.83
49,J. Socas #54,BRB/Brasília,3,18.72,2.33,2.0,1.17
50,Barnes #34,UNIFACISA,13,21.96,2.23,1.08,2.07
51,Lessa #32,Mogi,15,25.81,2.2,1.73,1.27
52,Fabricio #10,Mogi,15,31.4,2.2,0.87,2.54
53,Buffat #9,Pinheiros,11,23.05,2.18,1.91,1.14
54,Rashaun #17,Fortaleza B. C.,14,24.99,2.14,1.14,1.88
55,Fuzaro #6,Sesi Franca,14,30.4,2.14,2.71,0.79
56,M. Pajé #25,VipTech CMB,15,23.75,2.13,0.93,2.29
57,Eddy #33,KTO/Caxias do Sul,15,29.81,2.13,1.4,1.52
58,Nesbitt #25,Minas,14,29.17,2.07,1.29,1.61
59,Dawkins #10,São Paulo,14,15.07,2.07,0.71,2.9
60,I. Thornton #0,Pato Basquete,15,31.86,2.07,0.93,2.21
61,Cauê #8,Fortaleza B. C.,14,22.27,2.0,1.0,2.0
62,G. Basílio #10,Pinheiros,15,24.4,2.0,1.27,1.58
63,Batista #13,Minas,14,25.8,1.93,2.07,0.93
64,Olivinha #16,Flamengo,13,23.47,1.92,1.15,1.67
65,Augusto #55,Pato Basquete,15,20.9,1.87,1.27,1.47
66,Chuzito #8,Flamengo,15,25.42,1.87,1.4,1.33
67,Pedro #9,KTO/Caxias do Sul,15,19.41,1.8,1.4,1.29
68,Lucas Lima #4,Cerrado Basquete,15,17.59,1.8,0.6,3.0
69,Mineiro #12,Flamengo,14,24.36,1.79,0.71,2.5
70,Miller #33,Corinthians,13,26.64,1.77,1.85,0.96
71,Renato #15,Corinthians,8,25.17,1.75,1.5,1.17
72,Funches III #1,Pato Basquete,12,25.97,1.75,2.67,0.66
73,Jimmy #18,Paulistano,15,27.78,1.73,1.53,1.13
74,Zubiaurre #31,Pinheiros,14,13.72,1.71,1.07,1.6
75,Green #44,Sesi Franca,3,21.33,1.67,1.67,1.0
76,Wesley #21,Mogi,15,30.61,1.67,1.93,0.86
77,Gabriel #8,BRB/Brasília,11,10.41,1.64,0.55,3.0
78,Gemerson #6,BRB/Brasília,5,27.11,1.6,1.2,1.33
79,B. Fiorotto #21,Cerrado Basquete,14,16.84,1.57,1.71,0.92
80,D. Nunes #24,Cerrado Basquete,14,27.36,1.57,1.21,1.29
81,Gruber #20,Mogi,14,22.11,1.57,2.07,0.76
82,Luizinho #11,VipTech CMB,15,17.36,1.53,1.0,1.53
83,Adyel #4,Sesi Franca,14,13.2,1.5,1.07,1.4
84,Rafa Moreira #9,Minas,10,20.26,1.4,0.8,1.75
85,Tyrone Curnell #0,Bauru,15,28.96,1.4,1.27,1.11
86,Hettsheimeir #30,Flamengo,15,21.43,1.4,2.27,0.62
87,Felipe #33,Fortaleza B. C.,8,28.04,1.38,1.25,1.1
88,Lucão #31,VipTech CMB,15,17.99,1.33,1.0,1.33
89,Gui Santos #11,Minas,14,20.43,1.29,1.64,0.78
90,Antonio #11,KTO/Caxias do Sul,15,28.58,1.27,0.87,1.46
91,Barbosa #32,Paulistano,15,17.74,1.27,0.53,2.38
92,L. Muller #10,VipTech CMB,4,8.66,1.25,0.25,5.0
93,Arthur #36,Corinthians,9,22.39,1.22,1.0,1.22
94,Sena #7,Pinheiros,9,13.57,1.22,0.67,1.83
95,Vitão #10,Paulistano,15,27.39,1.2,1.13,1.06
96,Vezaro #10,UNIFACISA,15,17.46,1.13,0.4,2.83
97,Siewert #25,Corinthians,9,28.1,1.11,0.67,1.67
98,Gabriel Jaú #25,Bauru,11,20.72,1.09,1.55,0.71
99,Jhonatan #7,Flamengo,12,20.73,1.08,0.5,2.17
100,Caio Torres #13,BRB/Brasília,13,25.38,1.08,1.62,0.67
101,Doria #7,Paulistano,15,13.78,1.07,0.47,2.29
102,João Vitor #0,UNIFACISA,2,14.64,1.0,1.5,0.67
103,Murilo #5,Pato Basquete,4,4.33,1.0,0.25,4.0
104,Arthur #4,BRB/Brasília,5,21.03,1.0,1.8,0.56
105,Schneider #18,Fortaleza B. C.,6,13.96,1.0,0.67,1.5
106,Mogi #19,Mogi,8,19.54,1.0,0.75,1.33
107,Gui Abreu #33,Sesi Franca,12,18.89,1.0,0.25,4.0
108,Laster #14,BRB/Brasília,13,32.51,1.0,1.38,0.72
109,Demétrio #71,Flamengo,13,19.39,1.0,0.69,1.44
110,L. Cauê #23,Corinthians,13,19.85,1.0,2.15,0.46
111,Frierson #3,VipTech CMB,15,21.18,1.0,1.0,1.0
112,Pastor #9,UNIFACISA,15,22.93,1.0,0.8,1.25
113,Munford #14,Pinheiros,15,23.84,0.93,0.67,1.4
114,Crescenzi #8,Cerrado Basquete,15,13.68,0.93,0.47,2.0
115,Jefferson #11,São Paulo,15,19.25,0.93,0.87,1.08
116,Von Haydin #30,Cerrado Basquete,14,19.51,0.93,0.93,1.0
117,Da Silva #7,KTO/Caxias do Sul,14,27.74,0.93,2.0,0.46
118,Alex #13,Cerrado Basquete,12,13.44,0.92,0.67,1.38
119,Gabriel #12,Pato Basquete,11,12.91,0.91,0.73,1.25
120,Shilton #66,KTO/Caxias do Sul,9,27.45,0.89,1.56,0.57
121,Zach Graham #32,Bauru,8,31.54,0.88,1.38,0.64
122,Coleman #9,Mogi,8,34.02,0.88,1.25,0.7
123,Gemadinha #35,UNIFACISA,14,10.55,0.86,0.57,1.5
124,Vezarinho #10,Corinthians,13,13.1,0.85,0.77,1.1
125,Pedro Nunes #24,Flamengo,11,8.18,0.82,0.45,1.8
126,Felipe #11,BRB/Brasília,5,4.32,0.8,0.0,1.0
127,Lassance #24,Fortaleza B. C.,5,6.17,0.8,0.2,4.0
128,Paulo #7,Cerrado Basquete,15,26.9,0.8,1.33,0.6
129,Renan #44,São Paulo,15,23.33,0.8,1.07,0.75
130,Magna #19,VipTech CMB,15,12.61,0.8,0.73,1.09
131,Isaac #7,São Paulo,14,13.91,0.79,0.29,2.75
132,Douglas Santos #0,Mogi,9,16.87,0.78,1.33,0.58
133,Paranhos #24,UNIFACISA,13,23.97,0.77,2.0,0.38
134,Sualisson #14,Fortaleza B. C.,12,25.33,0.75,1.67,0.45
135,Maique #35,Paulistano,15,25.63,0.73,1.53,0.48
136,Hubner #77,Sesi Franca,15,22.4,0.73,0.53,1.38
137,Servelin #3,Pato Basquete,15,18.1,0.73,0.53,1.38
138,Eugeniusz #6,KTO/Caxias do Sul,14,8.5,0.71,1.21,0.59
139,Valter #28,Pinheiros,14,12.39,0.71,1.21,0.59
140,R. Stabile #17,KTO/Caxias do Sul,14,10.11,0.71,0.79,0.91
141,Mathias #12,Fortaleza B. C.,13,19.09,0.69,1.23,0.56
142,Alex #10,Fortaleza B. C.,13,21.39,0.69,0.85,0.82
143,Smith #10,Sesi Franca,3,15.18,0.67,0.67,1.0
144,Danilo #17,BRB/Brasília,9,14.34,0.67,0.78,0.86
145,Scheuer #14,Pato Basquete,15,21.6,0.67,0.93,0.71
146,Pezão #21,VipTech CMB,15,12.46,0.67,0.67,1.0
