Pos.,Jogador,Equipe,JO,Min,BR,ER,B/E
1,Alexey Borges #8,Bauru,10,34.72,2.3,1.9,1.21
2,Georginho #14,São Paulo,15,30.89,2.0,2.2,0.91
3,Lessa #32,Mogi,15,25.81,1.87,1.73,1.08
4,Gegê #19,Corinthians,11,24.62,1.82,1.45,1.25
5,Holloway #1,Fortaleza B. C.,12,34.34,1.67,2.83,0.59
6,Teichmann #11,Pinheiros,15,26.72,1.67,2.33,0.71
7,Matheusinho #9,Pato Basquete,14,23.59,1.64,2.29,0.72
8,Brite #3,Fortaleza B. C.,12,27.27,1.58,1.58,1.0
9,Parodi #21,Minas,12,23.45,1.58,2.08,0.76
10,Coelho #10,Cerrado Basquete,11,28.43,1.55,2.82,0.55
11,Miller #33,Corinthians,13,26.64,1.54,1.85,0.83
12,Alex Garcia #10,Bauru,14,32.32,1.5,2.29,0.66
13,Gui Deodato #1,Bauru,14,31.75,1.5,1.29,1.17
14,Betinho #26,UNIFACISA,15,28.58,1.47,2.4,0.61
15,Nezinho #23,BRB/Brasília,10,26.94,1.4,4.5,0.31
16,David Jackson #32,Minas,9,27.9,1.33,1.0,1.33
17,André Goes #40,Sesi Franca,15,31.84,1.33,1.47,0.91
18,Cauê #8,Paulistano,11,29.03,1.27,3.18,0.4
19,Eddy #33,KTO/Caxias do Sul,15,29.81,1.27,1.4,0.9
20,Arthur #4,BRB/Brasília,5,21.03,1.2,1.8,0.67
21,Larry Taylor #4,Bauru,15,27.22,1.2,1.2,1.0
22,Diego #15,BRB/Brasília,15,31.46,1.2,1.67,0.72
23,Augusto #55,Pato Basquete,15,20.9,1.2,1.27,0.95
24,Paulo #7,Cerrado Basquete,15,26.9,1.2,1.33,0.9
25,Bennett #3,São Paulo,15,32.6,1.2,1.13,1.06
26,Johnson Sr #22,Minas,12,28.94,1.17,1.58,0.74
27,Nesbitt #25,Minas,14,29.17,1.14,1.29,0.89
28,Dawkins #10,São Paulo,14,15.07,1.14,0.71,1.6
29,Fuzaro #6,Sesi Franca,14,30.4,1.14,2.71,0.42
30,Felipe #33,Fortaleza B. C.,8,28.04,1.13,1.25,0.9
31,Ruivo #4,Paulistano,15,30.92,1.07,1.53,0.7
32,Chuzito #8,Flamengo,15,25.42,1.07,1.4,0.76
33,Humberto #19,Pinheiros,15,32.49,1.07,3.33,0.32
34,Balbi #6,Flamengo,15,23.92,1.07,1.87,0.57
35,Deryk #9,Paulistano,15,28.62,1.07,2.67,0.4
36,T. Faria #1,Pinheiros,1,4.83,1.0,0.0,1.0
37,João Vitor #0,UNIFACISA,2,14.64,1.0,1.5,0.67
38,Alexandrino #13,UNIFACISA,2,8.53,1.0,1.0,1.0
39,Yeager #3,BRB/Brasília,7,33.31,1.0,2.86,0.35
40,Coleman #9,Mogi,8,34.02,1.0,1.25,0.8
41,Fischer #1,Corinthians,13,24.33,1.0,2.08,0.48
42,Da Silva #7,KTO/Caxias do Sul,14,27.74,1.0,2.0,0.5
43,Cauê #8,Fortaleza B. C.,14,22.27,1.0,1.0,1.0
44,Elinho #5,Sesi Franca,15,33.2,0.93,3.0,0.31
45,G. Basílio #10,Pinheiros,15,24.4,0.93,1.27,0.74
46,Yago #2,Flamengo,15,25.55,0.93,1.47,0.64
47,Pierotti #4,VipTech CMB,15,32.75,0.93,2.4,0.39
48,Lucas Lima #4,Cerrado Basquete,15,17.59,0.93,0.6,1.56
49,Olivinha #16,Flamengo,13,23.47,0.92,1.15,0.8
50,Funches III #1,Pato Basquete,12,25.97,0.92,2.67,0.34
51,Wesley #21,Mogi,15,30.61,0.87,1.93,0.45
52,Nehemias #7,UNIFACISA,15,26.91,0.87,2.53,0.34
53,Pastor #9,UNIFACISA,15,22.93,0.87,0.8,1.08
54,Rashaun #17,Fortaleza B. C.,14,24.99,0.86,1.14,0.75
55,Mineiro #12,Flamengo,14,24.36,0.86,0.71,1.2
56,Paranhos #24,UNIFACISA,13,23.97,0.85,2.0,0.42
57,Laster #14,BRB/Brasília,13,32.51,0.85,1.38,0.61
58,Fúlvio #2,Mogi,13,31.17,0.85,3.54,0.24
59,Sualisson #14,Fortaleza B. C.,12,25.33,0.83,1.67,0.5
60,Lucas #10,Pato Basquete,10,20.98,0.8,1.7,0.47
61,I. Thornton #0,Pato Basquete,15,31.86,0.8,0.93,0.86
62,Scheuer #14,Pato Basquete,15,21.6,0.8,0.93,0.86
63,Shamell #8,São Paulo,15,29.28,0.8,2.07,0.39
64,Pedro Teruel #12,KTO/Caxias do Sul,15,25.44,0.8,1.87,0.43
65,Dikembe #20,Bauru,15,15.32,0.8,1.07,0.75
66,Tyrone Curnell #0,Bauru,15,28.96,0.8,1.27,0.63
67,Pecos #23,UNIFACISA,15,20.78,0.8,1.0,0.8
68,Castellon #8,VipTech CMB,14,18.55,0.79,1.07,0.73
69,Sena #7,Pinheiros,9,13.57,0.78,0.67,1.17
70,Cook #55,VipTech CMB,9,32.79,0.78,2.44,0.32
71,Demétrio #71,Flamengo,13,19.39,0.77,0.69,1.11
72,Ribeiro #12,Minas,4,7.15,0.75,0.75,1.0
73,Figueroa #33,VipTech CMB,8,22.68,0.75,1.13,0.67
74,Vitão #10,Paulistano,15,27.39,0.73,1.13,0.65
