pos,jogador,equipe,jo,min,br,er,b_e
1,Gegê #19,Pato Basquete,25,29.17,2.24,1.96,1.14
2,Pepo Vidal #4,UNIFACISA,23,27.38,2.04,1.78,1.15
3,André Goes #40,Mogi,26,33.24,1.92,2.08,0.93
4,Brite #3,Fortaleza B. C.,26,25.99,1.92,2.08,0.93
5,Massey #5,Bauru,11,29.6,1.91,1.18,1.62
6,Faggiano #3,Bauru,26,33.83,1.81,2.42,0.75
7,Solano #1,Paulistano,25,30.87,1.64,2.76,0.59
8,Teichmann #11,Corinthians,15,15.0,1.53,0.67,2.3
9,Balbi #6,Flamengo,24,28.58,1.5,2.5,0.6
10,Alexey Borges #8,Mogi,7,28.46,1.43,2.57,0.56
11,Lucious #11,Rio Claro,5,23.88,1.4,2.6,0.54
12,Nezinho #23,Brasília,25,31.27,1.4,3.8,0.37
13,Alex Garcia #10,Minas,26,32.04,1.38,2.54,0.55
14,Dawkins #10,Pinheiros,24,29.21,1.38,2.5,0.55
15,Leandrinho #19,Minas,22,31.93,1.32,1.95,0.67
16,Georginho #14,São Paulo,26,37.89,1.31,2.77,0.47
17,Wesley #21,Corinthians,26,19.36,1.31,1.12,1.17
18,Coelho #10,Botafogo,20,30.08,1.3,1.9,0.68
19,Gruber #20,Mogi,14,30.8,1.29,1.86,0.69
20,Toledo #13,Pinheiros,24,25.29,1.25,1.46,0.86
21,Gui Deodato #1,Minas,24,24.96,1.25,1.13,1.11
22,Bennett #3,Pinheiros,26,31.61,1.23,2.27,0.54
23,Sualisson #14,Fortaleza B. C.,23,25.72,1.22,1.57,0.78
24,Léo Meindl #23,São Paulo,26,33.45,1.19,2.81,0.42
25,Nehemias #7,São José,13,30.31,1.15,2.23,0.52
26,Fuzaro #6,Mogi,24,34.49,1.13,2.67,0.42
27,Crescenzi #8,Bauru,26,24.45,1.12,1.08,1.04
28,Duda #10,São José,27,25.34,1.11,2.33,0.48
29,Phillips #9,Pato Basquete,10,19.7,1.1,1.6,0.69
30,Parodi #21,Sesi Franca,20,22.53,1.1,2.05,0.54
31,Larry Taylor #4,Bauru,11,23.72,1.09,1.55,0.71
32,Yago #2,Paulistano,25,31.78,1.08,2.2,0.49
33,Rafa #16,São José,25,28.19,1.08,1.84,0.59
34,Cauê #8,Botafogo,19,31.95,1.05,2.0,0.53
35,Enzo #30,Rio Claro,24,29.42,1.04,1.29,0.81
36,Elinho #5,Sesi Franca,25,26.79,1.04,2.0,0.52
37,P. Rava #7,Brasília,26,23.45,1.04,1.38,0.75
38,Prochnow #0,Rio Claro,1,1.35,1.0,0.0,1.0
39,Mãozinha #5,Pinheiros,1,5.93,1.0,0.0,1.0
40,Dixson #25,UNIFACISA,13,18.85,1.0,1.0,1.0
41,Draper #10,Bauru,13,26.39,1.0,1.46,0.68
42,Rashaun #17,Fortaleza B. C.,24,28.4,1.0,1.38,0.73
43,David Jackson #32,Sesi Franca,25,31.86,1.0,1.16,0.86
44,B. Fiorotto #21,Brasília,25,21.03,1.0,1.76,0.57
45,Nesbitt #25,Corinthians,26,26.43,1.0,1.58,0.63
46,Deryk #9,Flamengo,24,18.51,0.96,0.88,1.1
47,Tyrone Curnell #0,Minas,23,27.86,0.96,1.74,0.55
48,Marquinhos #11,Flamengo,23,28.26,0.96,2.17,0.44
49,Olivinha #16,Flamengo,22,22.46,0.95,1.14,0.84
50,Betinho #26,Pinheiros,27,27.73,0.93,3.04,0.3
51,Cauê #8,Fortaleza B. C.,26,22.07,0.92,1.04,0.89
52,Figueredo #9,São José,25,31.64,0.92,2.4,0.38
53,Shamell #8,São Paulo,26,37.16,0.88,2.0,0.44
54,Lucas Dias #9,Sesi Franca,25,31.62,0.88,1.68,0.52
55,Felipe #33,Fortaleza B. C.,8,30.46,0.88,1.88,0.47
56,Fabricio #10,Mogi,23,29.74,0.87,0.87,1.0
57,Arthur #4,Brasília,23,28.36,0.87,1.43,0.61
58,Davi #5,Minas,23,27.85,0.87,0.87,1.0
59,Scott #22,Minas,26,27.14,0.85,1.88,0.45
60,Davis #20,Fortaleza B. C.,25,23.5,0.84,0.96,0.88
61,Zach Graham #32,Flamengo,24,23.86,0.83,1.08,0.77
62,Wiggins #7,Bauru,23,31.29,0.83,2.26,0.37
63,Gui Santos #3,Brasília,17,25.84,0.82,1.82,0.45
64,Fúlvio #2,Mogi,22,30.25,0.82,2.95,0.28
65,L. Eltink #24,São José,27,17.95,0.81,0.93,0.88
66,Lupa #18,São José,27,23.54,0.81,0.78,1.05
67,Fuller #2,Corinthians,26,26.62,0.81,1.62,0.5
68,Jefferson #0,Rio Claro,5,15.08,0.8,1.0,0.8
69,G. Basílio #10,Pato Basquete,24,29.69,0.79,1.63,0.49
70,Renato #15,Bauru,23,27.51,0.78,1.83,0.43
71,Sahdi #32,Rio Claro,22,26.04,0.77,3.36,0.23
72,Cobb #21,Minas,4,19.53,0.75,1.5,0.5
73,Humberto #19,Corinthians,20,20.5,0.75,1.4,0.54
74,Pará #20,Bauru,26,15.86,0.73,0.77,0.95
75,Du Sommer #17,Botafogo,22,23.03,0.73,1.23,0.59
76,Funches III #1,Pato Basquete,25,23.59,0.72,1.92,0.38
77,Buffat #9,Pinheiros,27,20.08,0.7,0.89,0.79
78,Paranhos #24,Mogi,23,22.4,0.7,2.17,0.32
79,Gabriel Jaú #25,Bauru,26,20.83,0.69,1.81,0.38
80,Eugeniusz #6,São José,25,9.09,0.68,1.08,0.63
81,Jimmy #18,Sesi Franca,25,24.51,0.68,1.0,0.68
82,Ruan #9,Flamengo,3,7.08,0.67,0.0,1.0
83,Isaac #7,Pinheiros,9,20.11,0.67,0.67,1.0
84,D. Nunes #24,UNIFACISA,27,27.05,0.67,1.48,0.45
85,Barnes #34,UNIFACISA,27,29.95,0.67,2.11,0.32
86,Mariani #4,São José,27,26.53,0.67,1.96,0.34
87,Caio Torres #13,Pinheiros,27,19.55,0.67,1.07,0.62
88,Diego #15,Botafogo,26,14.98,0.65,0.81,0.81
