Pos.,Jogador,Equipe,JO,Min,Pts,3P,2P,LL
1,Lucas Dias #9,Sesi Franca,32,33.78,22.75,5.44,11.44,5.88
2,Holloway #1,Fortaleza B. C.,24,33.49,20.25,4.38,10.75,5.13
3,Lucas Mariano #28,São Paulo,30,29.09,19.63,5.7,11.53,2.4
4,Fuller #2,Corinthians,31,32.99,19.1,8.32,6.39,4.39
5,Yeager #3,BRB/Brasília,16,31.82,18.94,6.0,9.5,3.44
6,Cook #55,VipTech CMB,23,30.72,18.7,9.26,5.65,3.78
7,I. Thornton #0,Pato Basquete,28,31.7,15.82,6.0,6.93,2.89
8,Georginho #14,São Paulo,30,32.77,15.77,4.9,6.8,4.07
9,Wesley #21,Mogi,35,29.02,15.34,4.29,8.97,2.09
10,Fuller #14,Cerrado Basquete,13,31.74,15.23,3.23,7.54,4.46
11,Shamell #8,São Paulo,29,29.79,15.14,7.66,5.03,2.45
12,Alex Garcia #10,Bauru,34,31.36,14.85,5.12,6.82,2.91
13,Brite #3,Fortaleza B. C.,26,29.39,14.54,4.85,7.77,1.92
14,Coleman #9,Mogi,28,29.37,14.0,8.25,4.07,1.68
15,Gui Deodato #1,Bauru,34,32.68,13.97,5.91,6.06,2.0
16,Pierotti #4,VipTech CMB,20,31.97,13.95,6.15,5.2,2.6
17,David Jackson #32,Minas,27,28.77,13.89,5.44,5.48,2.96
18,Wiggins #15,Cerrado Basquete,15,24.6,13.67,2.6,6.93,4.13
19,Marquinhos #11,Flamengo,26,24.13,13.38,5.42,5.15,2.81
20,Johnson Sr #22,Minas,30,26.5,13.37,4.9,5.6,2.87
21,Antonio #11,KTO/Caxias do Sul,32,30.81,13.25,4.03,6.56,2.66
22,Thomas #24,Paulistano,18,25.2,13.22,3.0,8.44,1.78
23,Hettsheimeir #30,Flamengo,32,21.14,13.06,5.63,4.88,2.56
24,Betinho #26,UNIFACISA,33,26.08,13.0,4.82,5.45,2.73
25,Eddy #33,KTO/Caxias do Sul,31,33.75,12.97,7.84,3.87,1.26
26,Alexey Borges #8,Bauru,29,32.85,12.97,5.69,5.45,1.83
27,Cauê #8,Paulistano,19,27.07,12.89,4.11,6.0,2.79
28,Tyrone Curnell #0,Bauru,35,28.26,12.86,4.29,6.34,2.23
29,Coelho #10,Cerrado Basquete,15,26.07,12.47,3.6,6.4,2.47
30,Fúlvio #2,Mogi,32,30.11,12.44,5.53,3.13,3.78
31,Green #44,Sesi Franca,17,24.85,12.41,1.59,8.94,1.88
32,Olivinha #16,Flamengo,26,21.39,12.38,4.27,6.0,2.12
33,Chuzito #8,Flamengo,27,24.32,12.3,6.67,3.26,2.37
34,Batista #13,Minas,32,22.65,12.09,0.56,9.63,1.91
35,André Goes #40,Sesi Franca,33,30.67,12.06,5.0,4.73,2.33
36,Da Silva #7,KTO/Caxias do Sul,29,23.63,12.03,1.86,7.31,2.86
37,Fischer #1,Corinthians,31,25.52,12.0,5.71,4.06,2.23
38,Nehemias #7,UNIFACISA,33,22.65,12.0,4.82,5.33,1.85
39,Miller #33,Corinthians,32,27.28,11.97,5.53,5.25,1.19
40,Matheusinho #9,Pato Basquete,30,25.22,11.83,2.6,6.33,2.9
41,Ruivo #4,Paulistano,33,28.75,11.82,7.27,2.97,1.58
42,Gabriel #2,Pinheiros,30,25.15,11.8,6.7,3.07,2.03
43,Paulo #7,Cerrado Basquete,27,26.87,11.78,4.0,6.07,1.7
44,Laster #14,BRB/Brasília,28,28.02,11.71,6.43,3.71,1.57
45,Felipe #33,Fortaleza B. C.,20,27.35,11.6,4.8,4.6,2.2
46,Siewert #25,Corinthians,26,25.61,11.5,5.31,5.08,1.12
47,Pedro Teruel #12,KTO/Caxias do Sul,32,28.09,11.47,3.38,6.0,2.09
48,Zach Graham #32,Bauru,20,27.9,11.1,4.65,5.0,1.45
49,Du Sommer #17,Paulistano,13,24.7,11.08,2.31,6.77,2.0
50,Nico #22,KTO/Caxias do Sul,25,31.02,11.04,4.44,4.8,1.8
51,Parodi #21,Minas,22,21.94,10.91,4.64,4.73,1.55
52,Bennett #3,São Paulo,31,30.64,10.87,2.42,7.1,1.35
53,Yago #2,Flamengo,31,24.82,10.77,5.81,2.97,2.0
54,Barnes #34,UNIFACISA,31,21.51,10.74,4.65,5.23,0.87
55,Fuzaro #6,Sesi Franca,34,27.15,10.71,2.47,6.29,1.94
56,Nesbitt #25,Minas,29,25.94,10.69,4.97,3.72,2.0
57,Humberto #19,Pinheiros,26,31.63,10.58,4.85,3.69,2.04
58,Nezinho #23,BRB/Brasília,25,26.26,10.32,5.16,2.96,2.2
59,Gruber #20,Mogi,34,21.68,9.88,4.32,3.94,1.62
60,Elinho #5,Sesi Franca,31,31.48,9.74,4.45,4.45,0.84
61,Gemerson #6,BRB/Brasília,17,26.3,9.59,2.65,5.41,1.53
62,D. Nunes #24,Cerrado Basquete,28,27.44,9.57,3.43,4.5,1.64
63,Rashaun #17,Fortaleza B. C.,30,23.92,9.53,3.8,4.2,1.53
64,Martinez #25,Flamengo,17,19.08,9.53,6.71,2.12,0.71
65,Renan #44,São Paulo,29,23.5,9.52,3.93,3.93,1.66
66,Maique #35,Paulistano,32,24.17,9.5,1.78,6.06,1.66
67,Smith #10,Sesi Franca,17,24.34,9.47,5.82,2.0,1.65
68,Paranhos #24,UNIFACISA,25,23.88,9.44,0.0,8.4,1.04
69,Arthur #4,BRB/Brasília,20,22.87,9.4,2.7,4.6,2.1
70,Caio Torres #13,BRB/Brasília,28,23.42,9.39,2.79,5.29,1.32
71,Buffat #9,Pinheiros,23,23.39,9.35,3.91,3.91,1.52
72,Crescenzi #8,Cerrado Basquete,30,20.33,9.3,4.3,4.13,0.87
73,Vitão #10,Paulistano,30,25.01,9.23,4.4,3.67,1.17
74,Munford #14,Pinheiros,26,24.06,9.08,1.15,6.54,1.38
75,Mathias #12,Fortaleza B. C.,30,25.63,9.07,0.6,7.47,1.0
76,Deryk #9,Paulistano,33,25.92,8.94,3.91,4.24,0.79
77,Fabricio #10,Mogi,35,26.16,8.91,4.97,2.91,1.03
78,Scheuer #14,Pato Basquete,32,23.94,8.88,1.41,5.5,1.97
79,Lucão #31,VipTech CMB,30,20.23,8.67,0.0,8.0,0.67
80,Arthur #36,Corinthians,28,22.72,8.64,2.89,4.29,1.46
81,Mineiro #12,Flamengo,30,24.38,8.63,3.0,4.6,1.03
82,G. Basílio #10,Pinheiros,27,23.0,8.59,4.33,3.11,1.15
83,Shilton #66,KTO/Caxias do Sul,26,29.26,8.54,0.0,6.62,1.92
84,Jimmy #18,Paulistano,33,25.29,8.52,4.64,3.21,0.67
85,Demétrio #71,Flamengo,30,19.76,8.43,2.9,4.53,1.0
86,Gabriel Jaú #25,Bauru,31,19.33,8.42,0.19,6.19,2.03
87,Davi #5,Minas,32,24.87,8.41,3.75,3.0,1.66
88,Gui Santos #11,Minas,32,20.94,8.34,2.44,4.13,1.78
89,Pastor #9,UNIFACISA,33,21.27,8.21,3.27,3.82,1.12
90,Lucas #10,Pato Basquete,27,22.34,8.15,4.33,2.3,1.52
91,Jefferson #11,São Paulo,29,19.91,8.07,4.55,2.14,1.38
92,Balbi #6,Flamengo,25,23.45,8.0,4.56,2.24,1.2
93,Rafa #16,UNIFACISA,33,20.01,7.76,1.09,5.39,1.27
94,Frierson #3,VipTech CMB,30,18.95,7.7,5.5,1.27,0.93
95,Douglas Santos #0,Mogi,29,19.68,7.66,0.72,5.72,1.21
96,Vezaro #10,UNIFACISA,33,18.98,7.58,5.45,1.7,0.42
97,Márcio #3,Sesi Franca,30,16.56,7.4,0.7,4.93,1.77
98,Larry Taylor #4,Bauru,35,22.94,7.31,4.11,2.29,0.91
99,Diego #15,Bauru,34,19.89,7.24,3.88,2.35,1.0
100,Gui Abreu #33,Sesi Franca,30,18.88,7.23,3.2,3.0,1.03
101,Augusto #55,Pato Basquete,25,21.44,7.2,3.72,2.56,0.92
102,Renato #15,Corinthians,27,23.73,7.15,2.44,3.7,1.0
103,M. Pajé #25,VipTech CMB,30,22.68,7.1,2.6,3.8,0.7
