pos,jogador,equipe,jo,min,ef,pts,rt,as,br,to,dd,td
1,Georginho #14,São Paulo,26,37.89,24.08,15.46,8.73,7.46,1.31,0.81,0.5,0.19
2,Felipe #33,Fortaleza B. C.,8,30.46,15.88,14.75,8.25,1.25,0.88,0.63,0.38,0.0
3,Scott #22,Minas,26,27.14,19.96,14.31,7.81,2.15,0.85,0.81,0.31,0.0
4,Dikembe #20,Paulistano,25,23.48,13.64,10.28,7.8,0.76,0.6,0.32,0.28,0.0
5,Massey #5,Bauru,11,29.6,16.18,12.64,8.0,1.91,1.91,0.45,0.27,0.0
6,Léo Meindl #23,São Paulo,26,33.45,18.62,17.88,7.19,3.27,1.19,0.15,0.23,0.0
7,João Vitor #0,UNIFACISA,27,18.9,14.67,10.22,6.96,0.63,0.48,1.48,0.19,0.0
8,Paranhos #24,Mogi,23,22.4,11.43,9.96,7.26,0.48,0.7,0.43,0.17,0.0
9,Nehemias #7,São José,13,30.31,18.31,20.08,5.46,3.0,1.15,0.0,0.15,0.0
10,Gerson #1,Rio Claro,26,27.86,16.15,13.35,6.27,1.38,0.65,0.15,0.15,0.0
11,Olivinha #16,Flamengo,22,22.46,13.23,11.27,6.27,1.05,0.95,0.18,0.14,0.0
12,Renato #15,Bauru,23,27.51,11.7,10.65,5.57,1.52,0.78,0.04,0.13,0.0
13,Pepo Vidal #4,UNIFACISA,23,27.38,13.78,6.26,4.3,7.61,2.04,0.0,0.13,0.0
14,Ronald #6,Brasília,25,29.25,12.56,11.64,7.4,1.16,0.52,0.84,0.12,0.0
15,Nezinho #23,Brasília,25,31.27,12.28,12.88,3.28,6.84,1.4,0.08,0.12,0.0
16,Ansaloni #10,Rio Claro,26,20.43,10.35,9.46,5.81,1.15,0.35,0.31,0.12,0.0
17,D. Nunes #24,UNIFACISA,27,27.05,14.81,11.41,6.26,2.11,0.67,0.56,0.11,0.0
18,Sahdi #32,Rio Claro,22,26.04,14.45,11.82,2.36,6.36,0.77,0.0,0.09,0.0
19,Leandrinho #19,Minas,22,31.93,20.36,20.09,4.23,4.91,1.32,0.18,0.09,0.0
20,Fúlvio #2,Mogi,22,30.25,14.95,13.09,3.5,6.14,0.82,0.0,0.09,0.0
21,Gemerson #6,UNIFACISA,23,21.19,9.7,8.65,5.35,1.13,0.57,0.04,0.09,0.0
22,Sualisson #14,Fortaleza B. C.,23,25.72,11.09,9.04,5.78,0.83,1.22,0.91,0.09,0.0
23,Toledo #13,Pinheiros,24,25.29,11.29,9.17,5.13,1.67,1.25,0.21,0.08,0.0
24,Solano #1,Paulistano,25,30.87,15.72,13.92,5.28,5.48,1.64,0.28,0.08,0.04
25,Figueredo #9,São José,25,31.64,14.08,13.08,2.96,5.52,0.92,0.0,0.08,0.0
26,Funches III #1,Pato Basquete,25,23.59,10.16,8.04,5.64,0.88,0.72,0.92,0.08,0.0
27,Pastor #9,Rio Claro,26,22.82,10.81,8.27,4.81,1.19,0.58,0.15,0.08,0.0
28,Gabriel Jaú #25,Bauru,26,20.83,7.5,7.23,4.96,1.19,0.69,0.31,0.08,0.0
29,Nesbitt #25,Corinthians,26,26.43,15.92,12.46,6.46,1.73,1.0,0.31,0.08,0.0
30,L. Cauê #23,Pinheiros,27,14.68,7.11,5.96,3.89,0.67,0.37,0.56,0.07,0.0
31,Vargas #33,Flamengo,14,15.84,8.64,7.43,4.79,0.43,0.5,0.5,0.07,0.0
32,Teichmann #11,Corinthians,15,15.0,10.4,4.4,4.07,1.6,1.53,0.67,0.07,0.0
33,Figueroa #22,Rio Claro,16,23.72,9.69,6.0,2.5,4.88,0.63,0.0,0.06,0.0
34,Gui Santos #3,Brasília,17,25.84,9.88,11.0,4.24,1.47,0.82,0.12,0.06,0.0
35,Cauê #8,Botafogo,19,31.95,12.11,9.63,4.26,3.74,1.05,0.11,0.05,0.0
36,Kurtz #34,São Paulo,21,11.62,5.33,4.43,2.81,0.38,0.1,0.1,0.05,0.0
37,Du Sommer #17,Botafogo,22,23.03,8.09,6.91,3.82,1.09,0.73,0.5,0.05,0.0
38,Hettsheimeir #30,Sesi Franca,23,24.81,12.78,13.52,5.13,1.26,0.48,0.39,0.04,0.0
39,Tyrone Curnell #0,Minas,23,27.86,10.83,10.43,4.83,1.57,0.96,0.48,0.04,0.0
40,Marquinhos #11,Flamengo,23,28.26,16.48,17.26,4.43,2.96,0.96,0.22,0.04,0.0
41,Wiggins #7,Bauru,23,31.29,13.43,16.26,4.87,1.52,0.83,0.3,0.04,0.0
42,Balbi #6,Flamengo,24,28.58,13.5,8.29,3.88,7.38,1.5,0.08,0.04,0.0
43,Arthur #36,Botafogo,24,25.53,10.58,11.21,4.38,1.63,0.54,0.21,0.04,0.0
44,Lucas Dias #9,Sesi Franca,25,31.62,16.24,15.48,5.24,2.2,0.88,0.72,0.04,0.0
45,Renan #44,São Paulo,25,30.26,16.28,12.32,5.72,1.44,0.64,1.16,0.04,0.0
