pos,jogador,equipe,jo,min,pts,3p,2p,ll
1,Leandrinho #19,Minas,22,31.93,20.09,5.32,10.55,4.23
2,Nehemias #7,São José,13,30.31,20.08,6.46,9.85,3.77
3,Shamell #8,São Paulo,26,37.16,18.81,9.23,7.0,2.58
4,Léo Meindl #23,São Paulo,26,33.45,17.88,5.19,9.23,3.46
5,Fuzaro #6,Mogi,24,34.49,17.88,4.13,9.0,4.75
6,Marquinhos #11,Flamengo,23,28.26,17.26,7.7,5.57,4.0
7,David Jackson #32,Sesi Franca,25,31.86,17.12,5.76,7.12,4.24
8,Barnes #34,UNIFACISA,27,29.95,16.52,7.11,7.19,2.22
9,Alex Garcia #10,Minas,26,32.04,16.27,6.35,7.38,2.54
10,Wiggins #7,Bauru,23,31.29,16.26,3.78,7.83,4.65
11,Rafa #16,São José,25,28.19,16.24,2.28,11.68,2.28
12,Gruber #20,Mogi,14,30.8,16.14,4.93,8.14,3.07
13,Betinho #26,Pinheiros,27,27.73,16.07,5.89,5.93,4.26
14,Yago #2,Paulistano,25,31.78,16.04,7.68,3.92,4.44
15,Lucas Mariano #28,Botafogo,26,25.74,15.58,5.88,7.46,2.23
16,Lucas Dias #9,Sesi Franca,25,31.62,15.48,5.4,6.16,3.92
17,Georginho #14,São Paulo,26,37.89,15.46,5.54,5.92,4.0
18,Draper #10,Bauru,13,26.39,15.38,4.85,8.92,1.62
19,Bennett #3,Pinheiros,26,31.61,14.77,2.77,10.08,1.92
20,Felipe #33,Fortaleza B. C.,8,30.46,14.75,2.25,7.25,5.25
21,André Goes #40,Mogi,26,33.24,14.62,6.81,5.08,2.73
22,Fischer #1,Corinthians,24,25.05,14.58,6.25,6.17,2.17
23,Alexey Borges #8,Mogi,7,28.46,14.57,2.57,7.71,4.29
24,Arthur #4,Brasília,23,28.36,14.48,4.04,8.17,2.26
25,Faggiano #3,Bauru,26,33.83,14.31,3.58,7.54,3.19
26,Scott #22,Minas,26,27.14,14.31,0.23,10.15,3.92
27,I. Thornton #0,Pato Basquete,12,29.66,14.08,3.75,7.83,2.5
28,Solano #1,Paulistano,25,30.87,13.92,5.28,6.48,2.16
29,Jamaal #5,Botafogo,23,30.87,13.78,7.43,3.48,2.87
30,Hettsheimeir #30,Sesi Franca,23,24.81,13.52,3.65,6.52,3.35
31,Fuller #2,Corinthians,26,26.62,13.5,5.65,5.62,2.23
32,Enzo #30,Rio Claro,24,29.42,13.42,8.75,2.08,2.58
33,Gerson #1,Rio Claro,26,27.86,13.35,0.0,11.62,1.73
34,G. Basílio #10,Pato Basquete,24,29.69,13.25,4.5,6.42,2.33
35,Baxley #23,Rio Claro,26,24.18,13.19,3.12,6.0,4.08
36,Fúlvio #2,Mogi,22,30.25,13.09,7.09,2.64,3.36
37,Figueredo #9,São José,25,31.64,13.08,5.76,5.52,1.8
38,Nezinho #23,Brasília,25,31.27,12.88,4.68,4.32,3.88
39,Brite #3,Fortaleza B. C.,26,25.99,12.73,3.58,7.31,1.85
40,Massey #5,Bauru,11,29.6,12.64,6.27,4.55,1.82
41,Lucious #11,Rio Claro,5,23.88,12.6,6.6,3.6,2.4
42,Nesbitt #25,Corinthians,26,26.43,12.46,3.0,6.69,2.77
43,Rashaun #17,Fortaleza B. C.,24,28.4,12.46,4.63,5.5,2.33
44,Renan #44,São Paulo,25,30.26,12.32,5.76,5.44,1.12
45,Sahdi #32,Rio Claro,22,26.04,11.82,5.05,2.09,4.68
46,Coelho #10,Botafogo,20,30.08,11.7,4.65,4.2,2.85
47,Rafa Moreira #9,Brasília,26,27.66,11.69,7.38,3.08,1.23
48,Ronald #6,Brasília,25,29.25,11.64,0.36,8.32,2.96
49,D. Nunes #24,UNIFACISA,27,27.05,11.41,4.44,5.56,1.41
50,Olivinha #16,Flamengo,22,22.46,11.27,3.95,5.36,1.95
51,Arthur #36,Botafogo,24,25.53,11.21,4.75,5.0,1.46
52,Jefferson #11,São Paulo,25,27.6,11.2,7.32,2.8,1.08
53,Gui Santos #3,Brasília,17,25.84,11.0,2.65,5.88,2.47
54,Coleman #9,Paulistano,23,24.3,11.0,6.26,3.3,1.43
55,Zach Graham #32,Flamengo,24,23.86,10.88,4.63,4.42,1.83
56,Renato #15,Bauru,23,27.51,10.65,2.22,7.13,1.3
57,Mariani #4,São José,27,26.53,10.52,5.11,3.11,2.3
58,Parodi #21,Sesi Franca,20,22.53,10.5,6.0,3.7,0.8
59,Tyrone Curnell #0,Minas,23,27.86,10.43,2.74,5.74,1.96
60,Demétrio #71,Flamengo,24,19.47,10.38,3.13,5.83,1.42
61,Alex #10,Fortaleza B. C.,24,27.48,10.33,4.5,4.25,1.58
62,Miller #33,UNIFACISA,23,23.87,10.3,5.09,4.09,1.13
63,Dikembe #20,Paulistano,25,23.48,10.28,0.0,8.8,1.48
64,Gui Deodato #1,Minas,24,24.96,10.25,5.38,3.92,0.96
65,João Vitor #0,UNIFACISA,27,18.9,10.22,0.67,7.48,2.07
66,Dawkins #10,Pinheiros,24,29.21,10.0,6.25,2.17,1.58
67,Duda #10,São José,27,25.34,9.96,5.67,2.37,1.93
68,Paranhos #24,Mogi,23,22.4,9.96,0.0,8.09,1.87
69,Caio Torres #13,Pinheiros,27,19.55,9.81,3.33,5.48,1.0
70,Davis #20,Fortaleza B. C.,25,23.5,9.72,6.6,1.84,1.28
71,Vinicius #11,Fortaleza B. C.,23,24.25,9.7,1.17,6.0,2.52
72,Cauê #8,Botafogo,19,31.95,9.63,2.68,4.74,2.21
73,Lupa #18,São José,27,23.54,9.63,0.0,8.15,1.48
74,Schattmann #20,Sesi Franca,24,19.45,9.5,4.38,3.83,1.29
75,Ansaloni #10,Rio Claro,26,20.43,9.46,2.31,5.08,2.08
76,Mineiro #12,Flamengo,24,23.47,9.33,2.0,5.67,1.67
77,Larry Taylor #4,Bauru,11,23.72,9.18,4.09,3.64,1.45
78,Toledo #13,Pinheiros,24,25.29,9.17,0.0,6.83,2.33
79,Sualisson #14,Fortaleza B. C.,23,25.72,9.04,0.65,7.3,1.09
80,Vitão #10,Paulistano,25,23.15,9.0,3.84,4.64,0.52
81,Robinson #31,Corinthians,26,22.52,8.96,2.88,4.69,1.38
82,Paulo #7,Pato Basquete,25,21.48,8.96,2.4,5.28,1.28
83,Phillips #9,Pato Basquete,10,19.7,8.8,1.5,5.2,2.1
84,Gemerson #6,UNIFACISA,23,21.19,8.65,2.48,4.17,2.0
85,Fabricio #10,Mogi,23,29.74,8.61,6.39,1.48,0.74
86,Dixson #25,UNIFACISA,13,18.85,8.31,1.38,4.46,2.46
87,Balbi #6,Flamengo,24,28.58,8.29,2.63,3.75,1.92
88,Pastor #9,Rio Claro,26,22.82,8.27,2.54,5.0,0.73
89,Cipolini #15,Sesi Franca,13,17.29,8.15,3.0,3.54,1.62
90,Isaac #7,Pinheiros,9,20.11,8.11,4.0,1.78,2.33
91,Funches III #1,Pato Basquete,25,23.59,8.04,0.24,4.56,3.24
92,Davi #5,Minas,23,27.85,7.87,4.57,2.26,1.04
93,Ware #50,Pinheiros,27,21.38,7.81,4.0,3.26,0.56
94,Maique #35,Paulistano,25,19.66,7.68,0.84,5.84,1.0
95,Crescenzi #8,Bauru,26,24.45,7.58,4.38,2.15,1.04
96,Holloway #1,São Paulo,2,10.49,7.5,0.0,5.0,2.5
97,Vargas #33,Flamengo,14,15.84,7.43,0.0,5.29,2.14
98,Eddy #33,Paulistano,25,23.84,7.36,5.52,1.6,0.24
99,Augusto #55,Pato Basquete,25,15.9,7.36,4.44,2.16,0.76
100,Gabriel Jaú #25,Bauru,26,20.83,7.23,1.27,5.08,0.88
101,Vezaro #10,Corinthians,26,19.29,7.19,5.19,1.31,0.69
102,B. Fiorotto #21,Brasília,25,21.03,7.12,0.24,5.84,1.04
103,Gegê #19,Pato Basquete,25,29.17,7.0,4.56,1.36,1.08
104,Jimmy #18,Sesi Franca,25,24.51,6.92,2.76,3.68,0.48
105,Du Sommer #17,Botafogo,22,23.03,6.91,1.5,3.82,1.59
106,Pecos #23,Corinthians,26,18.76,6.85,2.77,3.0,1.08
107,Gemadinha #35,UNIFACISA,27,17.13,6.78,3.78,1.85,1.15
108,Ambrosino #35,São José,26,13.7,6.65,2.65,3.31,0.69
109,Pedro Teruel #12,Rio Claro,24,18.21,6.63,2.13,2.67,1.83
110,Wesley #21,Corinthians,26,19.36,6.62,1.04,4.62,0.96
111,Hubner #77,Sesi Franca,17,14.61,6.53,0.88,4.47,1.18
112,P. Rava #7,Brasília,26,23.45,6.35,2.54,2.0,1.81
113,Pepo Vidal #4,UNIFACISA,23,27.38,6.26,3.13,2.35,0.78
114,Deryk #9,Flamengo,24,18.51,6.13,3.75,1.75,0.63
115,Cauê #8,Fortaleza B. C.,26,22.07,6.04,3.0,2.46,0.58
116,Figueroa #22,Rio Claro,16,23.72,6.0,2.63,2.38,1.0
117,L. Cauê #23,Pinheiros,27,14.68,5.96,0.33,4.52,1.11
118,Elinho #5,Sesi Franca,25,26.79,5.96,3.36,1.84,0.76
119,Smith #2,Pato Basquete,8,23.3,5.75,2.25,3.0,0.5
120,Murilo #21,São Paulo,21,14.54,5.67,0.43,3.33,1.9
121,Gabriel #12,UNIFACISA,24,15.25,5.67,2.25,2.5,0.92
122,Antonio #11,UNIFACISA,26,15.06,5.46,1.73,2.92,0.81
123,Lucas #10,Mogi,17,12.89,5.41,3.0,1.29,1.12
124,Humberto #19,Corinthians,20,20.5,5.4,1.35,2.4,1.65
125,Diego #15,Botafogo,26,14.98,5.23,1.73,2.46,1.04
126,Pedro #9,Brasília,9,21.51,5.22,0.67,3.11,1.44
127,Freddie #35,Botafogo,22,14.88,5.09,1.77,2.27,1.05
128,Buffat #9,Pinheiros,27,20.08,5.07,2.0,2.52,0.56
129,Coimbra #44,Pato Basquete,21,16.69,5.05,0.0,4.67,0.38
130,Jhonatan #7,Flamengo,22,18.25,5.05,2.59,1.73,0.73
131,Jefferson #0,Rio Claro,5,15.08,4.8,2.4,2.0,0.4
132,Johnson #32,Corinthians,25,12.74,4.8,0.0,4.08,0.72
133,Shilton #66,Minas,22,16.66,4.73,0.0,3.36,1.36
134,Paulinho #9,Botafogo,25,12.63,4.72,2.76,1.36,0.6
135,Jackson Jr #8,Minas,19,12.17,4.68,2.68,1.47,0.53
136,Rodrigues #16,Pato Basquete,25,12.78,4.52,0.0,2.96,1.56
137,Brito #6,Bauru,26,11.15,4.5,1.15,2.23,1.12
138,Kurtz #34,São Paulo,21,11.62,4.43,0.0,3.71,0.71
139,Mogi #3,Botafogo,24,18.44,4.42,1.5,2.08,0.83
140,Ruivo #4,Paulistano,22,17.42,4.41,2.73,1.27,0.41
141,L. Eltink #24,São José,27,17.95,4.41,1.22,2.74,0.44
142,Teichmann #11,Corinthians,15,15.0,4.4,0.0,3.87,0.53
143,Kevin Foster #3,Paulistano,9,9.9,4.33,2.33,1.56,0.44
144,Mathias #12,Fortaleza B. C.,26,16.68,4.19,0.12,3.46,0.62
145,Sérgio #1,São José,27,14.05,4.11,0.0,3.26,0.85
146,João Pedro #16,Mogi,6,12.58,4.0,1.0,2.33,0.67
147,Spencer #1,UNIFACISA,10,14.54,4.0,1.5,2.0,0.5
148,Pará #20,Bauru,26,15.86,3.77,0.81,2.54,0.42
149,Jones #2,São Paulo,23,11.91,3.74,1.43,1.57,0.74
150,Eugeniusz #6,São José,25,9.09,3.72,0.48,2.16,1.08
151,Scheuer #14,Pato Basquete,25,13.6,3.64,0.0,3.04,0.6
152,Black #7,Flamengo,23,7.77,3.52,1.57,1.57,0.39
153,Ruan #9,Flamengo,3,7.08,3.33,0.0,2.0,1.33
154,Lessa #32,Mogi,26,13.05,3.15,0.69,2.15,0.31
155,Lucão #31,Rio Claro,25,10.73,3.12,0.0,2.08,1.04
156,Marcelão #5,Brasília,18,7.61,3.06,0.0,2.56,0.5
157,Barrera #55,Flamengo,9,12.37,2.78,1.33,0.44,1.0
158,Cobb #21,Minas,4,19.53,2.75,2.25,0.5,0.0
159,Gui Bento #77,Brasília,22,10.83,2.73,0.82,1.45,0.45
160,Gui Abreu #33,Sesi Franca,19,6.69,2.68,0.95,1.05,0.68
161,Scaglia #6,Pinheiros,27,13.05,2.59,1.44,0.89,0.26
162,Alexei Patrício #3,Minas,26,10.1,2.31,0.58,1.0,0.73
163,Nicolas Ronsini #3,UNIFACISA,5,7.9,2.2,1.8,0.4,0.0
164,Buemo #8,São José,10,9.7,2.2,0.9,0.8,0.5
165,Prochnow #0,Rio Claro,1,1.35,2.0,0.0,2.0,0.0
166,Mãozinha #5,Pinheiros,1,5.93,2.0,0.0,2.0,0.0
167,Douglas Santos #0,Corinthians,26,6.43,2.0,0.0,1.38,0.62
168,Mendes #30,Bauru,9,7.54,1.78,0.67,0.67,0.44
169,Leandro #6,Pato Basquete,18,8.92,1.72,0.83,0.56,0.33
170,Guga #0,São José,19,7.41,1.68,0.63,0.84,0.21
171,Igor #20,São Paulo,6,1.98,1.67,1.5,0.0,0.17
172,Alex #13,Mogi,24,8.74,1.67,0.0,1.33,0.33
173,Thiaguinho #2,Rio Claro,17,7.15,1.65,0.35,1.06,0.24
174,Aquiles #20,Pato Basquete,16,5.7,1.63,0.75,0.63,0.25
175,Gabriel #7,Fortaleza B. C.,23,6.45,1.57,0.65,0.78,0.13
176,Queiros #3,Minas,17,4.78,1.53,1.24,0.24,0.06
177,Daniel #2,São José,2,1.11,1.5,1.5,0.0,0.0
178,Gui Santos #11,Minas,4,3.55,1.5,0.0,1.0,0.5
179,José Carlos #35,Brasília,9,6.37,1.44,0.33,0.67,0.44
180,Malachias #13,Bauru,16,7.4,1.44,0.0,1.13,0.31
181,Márcio #3,Sesi Franca,16,3.65,1.44,0.38,0.63,0.44
182,Pedro Nunes #1,Flamengo,21,6.98,1.33,0.29,0.76,0.29
183,Jonatan #50,Paulistano,16,4.12,1.31,0.94,0.38,0.0
184,Gabriel #8,Brasília,16,5.7,1.25,0.19,0.63,0.44
185,Colina #8,Mogi,20,3.11,1.25,0.75,0.5,0.0
186,D. Penteado #12,São Paulo,12,3.13,1.17,0.5,0.5,0.17
187,Pezão #21,UNIFACISA,14,4.21,1.14,0.21,0.57,0.36
188,Emanuel Matias #11,Bauru,13,5.41,1.08,0.0,0.92,0.15
189,Matheusinho #9,Flamengo,4,3.84,1.0,0.0,0.5,0.5
190,Pitico #2,Minas,4,7.7,1.0,0.0,0.5,0.5
191,Cassiano #5,São Paulo,21,4.12,1.0,0.29,0.57,0.14
192,Felipe #16,Mogi,6,2.7,0.83,0.0,0.33,0.5
193,Gabriel #2,Pinheiros,6,1.54,0.83,0.5,0.33,0.0
194,Rafael #12,Paulistano,10,1.71,0.8,0.0,0.6,0.2
195,Barbosa #32,Paulistano,22,4.49,0.77,0.27,0.18,0.32
196,W. Sena #21,Botafogo,6,2.84,0.67,0.0,0.67,0.0
