Pos.,Jogador,Equipe,JO,Min,RT,RO,RD
1,Mathias #12,Fortaleza B. C.,30,25.63,9.7,2.23,7.47
2,Teichmann #11,Pinheiros,27,27.05,8.81,2.04,6.78
3,Georginho #14,São Paulo,30,32.77,8.13,1.03,7.1
4,Paranhos #24,UNIFACISA,25,23.88,7.72,2.2,5.52
5,Shilton #66,KTO/Caxias do Sul,26,29.26,7.58,2.23,5.35
6,Olivinha #16,Flamengo,26,21.39,7.23,2.38,4.85
7,Maique #35,Paulistano,32,24.17,7.16,2.25,4.91
8,Lucas Mariano #28,São Paulo,30,29.09,6.8,2.33,4.47
9,Funches III #1,Pato Basquete,29,24.03,6.34,0.97,5.38
10,Wesley #21,Mogi,35,29.02,6.31,1.97,4.34
11,Holloway #1,Fortaleza B. C.,24,33.49,6.13,1.83,4.29
12,Lucão #31,VipTech CMB,30,20.23,6.07,2.07,4.0
13,Gabriel Jaú #25,Bauru,31,19.33,6.03,2.13,3.9
14,Thomas #24,Paulistano,18,25.2,5.94,1.56,4.39
15,Batista #13,Minas,32,22.65,5.94,1.97,3.97
16,Caio Torres #13,BRB/Brasília,28,23.42,5.86,1.29,4.57
17,Nesbitt #25,Minas,29,25.94,5.69,1.66,4.03
18,Scheuer #14,Pato Basquete,32,23.94,5.69,1.88,3.81
19,Arthur #36,Corinthians,28,22.72,5.54,1.43,4.11
20,Vitão #10,Paulistano,30,25.01,5.53,1.4,4.13
21,Tyrone Curnell #0,Bauru,35,28.26,5.51,1.43,4.09
22,Siewert #25,Corinthians,26,25.61,5.5,1.88,3.62
23,Gui Santos #11,Minas,32,20.94,5.44,1.5,3.94
24,Hettsheimeir #30,Flamengo,32,21.14,5.41,1.59,3.81
25,Da Silva #7,KTO/Caxias do Sul,29,23.63,5.38,1.62,3.76
26,Hubner #77,Sesi Franca,35,18.22,5.37,1.14,4.23
27,Felipe #33,Fortaleza B. C.,20,27.35,5.35,1.4,3.95
28,Barbosa #32,Paulistano,29,17.2,5.34,1.79,3.55
29,Gui Deodato #1,Bauru,34,32.68,5.29,1.12,4.18
30,Jefferson #11,São Paulo,29,19.91,5.28,0.9,4.38
31,Sualisson #14,Fortaleza B. C.,29,24.97,5.1,1.66,3.45
32,Yeager #3,BRB/Brasília,16,31.82,5.06,1.25,3.81
33,Munford #14,Pinheiros,26,24.06,5.0,1.58,3.42
34,M. Pajé #25,VipTech CMB,30,22.68,5.0,1.77,3.23
35,Antonio #11,KTO/Caxias do Sul,32,30.81,5.0,1.5,3.5
36,Demétrio #71,Flamengo,30,19.76,4.97,1.57,3.4
37,Gemerson #6,BRB/Brasília,17,26.3,4.94,1.06,3.88
38,André Goes #40,Sesi Franca,33,30.67,4.94,0.61,4.33
39,Renan #44,São Paulo,29,23.5,4.93,1.31,3.62
40,Eddy #33,KTO/Caxias do Sul,31,33.75,4.9,1.16,3.74
41,João Vitor #0,UNIFACISA,13,18.24,4.85,1.92,2.92
42,Marcelão #5,BRB/Brasília,30,16.99,4.83,1.67,3.17
43,Lucas Dias #9,Sesi Franca,32,33.78,4.81,1.66,3.16
44,D. Nunes #24,Cerrado Basquete,28,27.44,4.79,0.75,4.04
45,Paulo #7,Cerrado Basquete,27,26.87,4.74,1.63,3.11
46,Marquinhos #11,Flamengo,26,24.13,4.73,0.85,3.88
47,Laster #14,BRB/Brasília,28,28.02,4.5,1.46,3.04
48,Du Sommer #17,Paulistano,13,24.7,4.46,1.38,3.08
49,Ronald #6,Minas,24,17.06,4.42,1.54,2.88
50,Leal #2,Pato Basquete,32,18.7,4.41,1.28,3.13
51,Mineiro #12,Flamengo,30,24.38,4.4,1.13,3.27
52,Miller #33,Corinthians,32,27.28,4.38,0.59,3.78
53,Pastor #9,UNIFACISA,33,21.27,4.36,1.52,2.85
54,Fúlvio #2,Mogi,32,30.11,4.34,0.69,3.66
