Pos.,Jogador,Equipe,JO,Min,TO,FC,T/FC
1,Nogueira #92,Fortaleza B. C.,9,18.19,1.56,1.67,0.93
2,Diego #15,BRB/Brasília,15,31.46,1.07,3.2,0.33
3,Maique #35,Paulistano,15,25.63,0.93,2.73,0.34
4,Gruber #20,Mogi,14,22.11,0.93,2.93,0.32
5,Leonardo #21,UNIFACISA,10,15.7,0.9,3.4,0.26
6,Wesley #21,Mogi,15,30.61,0.8,2.87,0.28
7,Renan #44,São Paulo,15,23.33,0.8,1.67,0.48
8,Lucas Mariano #28,São Paulo,15,26.64,0.8,2.27,0.35
9,Gui Santos #11,Minas,14,20.43,0.79,2.93,0.27
10,Siewert #25,Corinthians,9,28.1,0.78,2.78,0.28
11,Miller #33,Corinthians,13,26.64,0.77,2.62,0.29
12,Mathias #12,Fortaleza B. C.,13,19.09,0.77,2.38,0.32
13,Sualisson #14,Fortaleza B. C.,12,25.33,0.75,2.08,0.36
14,Georginho #14,São Paulo,15,30.89,0.73,2.2,0.33
15,Márcio #3,Sesi Franca,10,16.82,0.7,2.9,0.24
16,L. Cauê #23,Corinthians,13,19.85,0.69,3.31,0.21
17,Teichmann #11,Pinheiros,15,26.72,0.67,2.73,0.24
18,Lucas Dias #9,Sesi Franca,15,34.14,0.67,2.33,0.29
19,Cauê #8,Paulistano,11,29.03,0.55,1.36,0.4
20,João Vitor #0,UNIFACISA,2,14.64,0.5,3.0,0.17
21,Funches III #1,Pato Basquete,12,25.97,0.5,3.5,0.14
22,Batista #13,Minas,14,25.8,0.5,2.71,0.18
23,Gui Deodato #1,Bauru,14,31.75,0.5,2.5,0.2
24,Scheuer #14,Pato Basquete,15,21.6,0.47,2.4,0.19
25,M. Pajé #25,VipTech CMB,15,23.75,0.47,1.93,0.24
26,Hubner #77,Sesi Franca,15,22.4,0.47,2.87,0.16
27,Humberto #19,Pinheiros,15,32.49,0.47,3.8,0.12
28,Demétrio #71,Flamengo,13,19.39,0.46,1.62,0.29
29,Alex #13,Cerrado Basquete,12,13.44,0.42,1.83,0.23
30,Paranhos #24,UNIFACISA,13,23.97,0.38,2.46,0.16
31,Caio Torres #13,BRB/Brasília,13,25.38,0.38,2.38,0.16
32,Renato #15,Corinthians,8,25.17,0.38,2.63,0.14
33,Zach Graham #32,Bauru,8,31.54,0.38,2.0,0.19
34,Nesbitt #25,Minas,14,29.17,0.36,2.93,0.12
35,Mineiro #12,Flamengo,14,24.36,0.36,1.93,0.19
36,D. Nunes #24,Cerrado Basquete,14,27.36,0.36,1.57,0.23
37,D. Souza #12,Pinheiros,3,8.47,0.33,1.67,0.2
38,Ronald #6,Minas,6,11.54,0.33,2.5,0.13
39,Douglas Santos #0,Mogi,9,16.87,0.33,3.22,0.1
40,Holloway #1,Fortaleza B. C.,12,34.34,0.33,2.58,0.13
41,Gui Abreu #33,Sesi Franca,12,18.89,0.33,2.0,0.17
